"","area","totale"
"1","ABR",9351
"2","BAS",4075
"3","CAL",8280
"4","CAM",50427
"5","EMR",52163
"6","FVG",11527
"7","LAZ",56338
"8","LIG",15897
"9","LOM",46257
"10","MAR",10659
"11","MOL",2509
"12","PAB",4135
"13","PAT",5337
"14","PIE",36526
"15","PUG",29650
"16","SAR",9641
"17","SIC",51558
"18","TOS",37213
"19","UMB",6142
"20","VDA",980
"21","VEN",55922
"22","ITA",504587
