"","data_somministrazione","area","fascia_anagrafica","sesso_maschile","sesso_femminile","categoria_operatori_sanitari_sociosanitari","categoria_personale_non_sanitario","categoria_ospiti_rsa"
"774",2021-01-02,"PUG","90+",4,11,2,10,3
"775",2021-01-02,"SAR","16-19",0,0,0,0,0
"776",2021-01-02,"SAR","20-29",0,3,3,0,0
"777",2021-01-02,"SAR","30-39",1,5,6,0,0
"778",2021-01-02,"SAR","40-49",3,11,14,0,0
"779",2021-01-02,"SAR","50-59",10,15,25,0,0
"780",2021-01-02,"SAR","60-69",7,5,12,0,0
"781",2021-01-02,"SAR","70-79",0,0,0,0,0
"782",2021-01-02,"SAR","80-89",0,0,0,0,0
"783",2021-01-02,"SAR","90+",0,0,0,0,0
"784",2021-01-02,"SIC","16-19",3,2,0,5,0
"785",2021-01-02,"SIC","20-29",234,292,501,25,0
"786",2021-01-02,"SIC","30-39",407,438,807,38,0
"787",2021-01-02,"SIC","40-49",514,562,989,87,0
"788",2021-01-02,"SIC","50-59",738,636,1296,78,0
"789",2021-01-02,"SIC","60-69",577,308,843,42,0
"790",2021-01-02,"SIC","70-79",5,2,4,3,0
"791",2021-01-02,"SIC","80-89",1,0,1,0,0
"792",2021-01-02,"SIC","90+",1,0,0,1,0
"793",2021-01-02,"TOS","16-19",0,0,0,0,0
"794",2021-01-02,"TOS","20-29",113,278,390,0,1
"795",2021-01-02,"TOS","30-39",217,373,588,1,1
"796",2021-01-02,"TOS","40-49",176,513,679,1,9
"797",2021-01-02,"TOS","50-59",227,546,733,9,31
"798",2021-01-02,"TOS","60-69",179,166,271,3,71
"799",2021-01-02,"TOS","70-79",72,79,4,1,146
"800",2021-01-02,"TOS","80-89",79,232,4,0,307
"801",2021-01-02,"TOS","90+",31,207,4,0,234
"802",2021-01-02,"UMB","16-19",0,0,0,0,0
"803",2021-01-02,"UMB","20-29",1,18,19,0,0
"804",2021-01-02,"UMB","30-39",34,64,98,0,0
"805",2021-01-02,"UMB","40-49",27,51,78,0,0
"806",2021-01-02,"UMB","50-59",33,39,72,0,0
"807",2021-01-02,"UMB","60-69",25,12,36,1,0
"808",2021-01-02,"UMB","70-79",0,0,0,0,0
"809",2021-01-02,"UMB","80-89",0,0,0,0,0
"810",2021-01-02,"UMB","90+",0,0,0,0,0
"811",2021-01-02,"VDA","16-19",0,0,0,0,0
"812",2021-01-02,"VDA","20-29",0,0,0,0,0
"813",2021-01-02,"VDA","30-39",0,0,0,0,0
"814",2021-01-02,"VDA","40-49",0,0,0,0,0
"815",2021-01-02,"VDA","50-59",0,0,0,0,0
"816",2021-01-02,"VDA","60-69",2,0,0,0,2
"817",2021-01-02,"VDA","70-79",0,0,0,0,0
"818",2021-01-02,"VDA","80-89",3,1,0,0,4
"819",2021-01-02,"VDA","90+",0,0,0,0,0
"820",2021-01-02,"VEN","16-19",0,1,0,1,0
"821",2021-01-02,"VEN","20-29",198,498,681,14,1
"822",2021-01-02,"VEN","30-39",318,624,906,35,1
"823",2021-01-02,"VEN","40-49",373,979,1288,64,0
"824",2021-01-02,"VEN","50-59",380,1189,1475,89,5
"825",2021-01-02,"VEN","60-69",361,253,533,45,36
"826",2021-01-02,"VEN","70-79",45,58,19,8,76
"827",2021-01-02,"VEN","80-89",49,184,1,5,227
"828",2021-01-02,"VEN","90+",34,165,0,2,197
"829",2021-01-03,"ABR","16-19",0,0,0,0,0
"830",2021-01-03,"ABR","20-29",24,72,96,0,0
"831",2021-01-03,"ABR","30-39",49,54,100,3,0
"832",2021-01-03,"ABR","40-49",63,97,159,1,0
"833",2021-01-03,"ABR","50-59",58,81,136,3,0
"834",2021-01-03,"ABR","60-69",25,40,64,1,0
"835",2021-01-03,"ABR","70-79",0,0,0,0,0
"836",2021-01-03,"ABR","80-89",0,1,1,0,0
"837",2021-01-03,"ABR","90+",0,0,0,0,0
"838",2021-01-03,"BAS","16-19",0,0,0,0,0
"839",2021-01-03,"BAS","20-29",9,32,41,0,0
"840",2021-01-03,"BAS","30-39",53,70,123,0,0
"841",2021-01-03,"BAS","40-49",97,154,249,2,0
"842",2021-01-03,"BAS","50-59",69,138,205,2,0
"843",2021-01-03,"BAS","60-69",60,41,99,2,0
"844",2021-01-03,"BAS","70-79",0,0,0,0,0
"845",2021-01-03,"BAS","80-89",0,0,0,0,0
"846",2021-01-03,"BAS","90+",0,0,0,0,0
"847",2021-01-03,"CAL","16-19",0,0,0,0,0
"848",2021-01-03,"CAL","20-29",0,1,1,0,0
"849",2021-01-03,"CAL","30-39",0,0,0,0,0
"850",2021-01-03,"CAL","40-49",0,0,0,0,0
"851",2021-01-03,"CAL","50-59",1,0,1,0,0
"852",2021-01-03,"CAL","60-69",2,1,2,1,0
"853",2021-01-03,"CAL","70-79",0,0,0,0,0
"854",2021-01-03,"CAL","80-89",0,0,0,0,0
"855",2021-01-03,"CAL","90+",0,0,0,0,0
"856",2021-01-03,"CAM","16-19",0,0,0,0,0
"857",2021-01-03,"CAM","20-29",107,187,259,35,0
"858",2021-01-03,"CAM","30-39",332,345,575,102,0
"859",2021-01-03,"CAM","40-49",338,465,709,94,0
"860",2021-01-03,"CAM","50-59",544,566,998,112,0
"861",2021-01-03,"CAM","60-69",770,372,1016,126,0
"862",2021-01-03,"CAM","70-79",41,6,43,4,0
"863",2021-01-03,"CAM","80-89",1,0,1,0,0
"864",2021-01-03,"CAM","90+",0,0,0,0,0
"865",2021-01-03,"EMR","20-29",99,236,302,33,0
"866",2021-01-03,"EMR","30-39",214,346,499,61,0
"867",2021-01-03,"EMR","40-49",200,419,525,93,1
"868",2021-01-03,"EMR","50-59",188,516,610,92,2
"869",2021-01-03,"EMR","60-69",170,165,281,42,12
"870",2021-01-03,"EMR","70-79",28,20,16,5,27
"871",2021-01-03,"EMR","80-89",25,37,0,0,62
"872",2021-01-03,"EMR","90+",11,55,0,0,66
"873",2021-01-03,"FVG","16-19",0,1,0,1,0
"874",2021-01-03,"FVG","20-29",28,49,37,40,0
"875",2021-01-03,"FVG","30-39",20,36,45,11,0
"876",2021-01-03,"FVG","40-49",21,44,58,7,0
"877",2021-01-03,"FVG","50-59",19,45,55,9,0
"878",2021-01-03,"FVG","60-69",21,13,31,3,0
"879",2021-01-03,"FVG","70-79",12,1,11,2,0
"880",2021-01-03,"FVG","80-89",0,0,0,0,0
"881",2021-01-03,"FVG","90+",0,1,0,1,0
"882",2021-01-03,"LAZ","16-19",0,3,3,0,0
"883",2021-01-03,"LAZ","20-29",149,350,449,47,3
"884",2021-01-03,"LAZ","30-39",334,531,825,35,5
"885",2021-01-03,"LAZ","40-49",392,873,1203,56,6
"886",2021-01-03,"LAZ","50-59",479,952,1334,70,27
"887",2021-01-03,"LAZ","60-69",525,414,869,45,25
"888",2021-01-03,"LAZ","70-79",48,23,30,10,31
"889",2021-01-03,"LAZ","80-89",28,49,7,4,66
"890",2021-01-03,"LAZ","90+",4,33,0,0,37
"891",2021-01-03,"LIG","16-19",0,0,0,0,0
"892",2021-01-03,"LIG","20-29",18,52,62,8,0
"893",2021-01-03,"LIG","30-39",36,69,94,11,0
"894",2021-01-03,"LIG","40-49",29,113,122,20,0
"895",2021-01-03,"LIG","50-59",91,188,251,28,0
"896",2021-01-03,"LIG","60-69",48,49,88,9,0
"897",2021-01-03,"LIG","70-79",0,0,0,0,0
"898",2021-01-03,"LIG","80-89",0,0,0,0,0
"899",2021-01-03,"LIG","90+",0,0,0,0,0
"900",2021-01-03,"LOM","16-19",0,0,0,0,0
"901",2021-01-03,"LOM","20-29",23,71,94,0,0
"902",2021-01-03,"LOM","30-39",73,89,160,2,0
"903",2021-01-03,"LOM","40-49",58,119,170,7,0
"904",2021-01-03,"LOM","50-59",87,192,266,13,0
"905",2021-01-03,"LOM","60-69",63,49,106,6,0
"906",2021-01-03,"LOM","70-79",6,0,6,0,0
"907",2021-01-03,"LOM","80-89",1,2,1,0,2
"908",2021-01-03,"LOM","90+",0,2,0,0,2
"909",2021-01-03,"MAR","16-19",0,0,0,0,0
"910",2021-01-03,"MAR","20-29",30,50,65,15,0
"911",2021-01-03,"MAR","30-39",72,103,152,23,0
"912",2021-01-03,"MAR","40-49",92,168,222,38,0
"913",2021-01-03,"MAR","50-59",95,182,227,50,0
"914",2021-01-03,"MAR","60-69",59,45,79,25,0
"915",2021-01-03,"MAR","70-79",0,1,0,1,0
"916",2021-01-03,"MAR","80-89",0,0,0,0,0
"917",2021-01-03,"MAR","90+",0,0,0,0,0
"918",2021-01-03,"PAT","16-19",0,1,0,1,0
"919",2021-01-03,"PAT","20-29",6,39,42,3,0
"920",2021-01-03,"PAT","30-39",28,36,63,1,0
"921",2021-01-03,"PAT","40-49",17,69,85,1,0
"922",2021-01-03,"PAT","50-59",33,93,122,4,0
"923",2021-01-03,"PAT","60-69",56,52,101,1,6
"924",2021-01-03,"PAT","70-79",10,4,4,0,10
"925",2021-01-03,"PAT","80-89",6,17,0,0,23
"926",2021-01-03,"PAT","90+",3,23,0,0,26
"927",2021-01-03,"PIE","16-19",0,1,1,0,0
"928",2021-01-03,"PIE","20-29",98,269,354,13,0
"929",2021-01-03,"PIE","30-39",173,289,432,30,0
"930",2021-01-03,"PIE","40-49",200,512,640,72,0
"931",2021-01-03,"PIE","50-59",256,806,942,120,0
"932",2021-01-03,"PIE","60-69",208,179,329,53,5
"933",2021-01-03,"PIE","70-79",21,5,7,7,12
"934",2021-01-03,"PIE","80-89",6,18,1,0,23
"935",2021-01-03,"PIE","90+",2,10,0,0,12
"936",2021-01-03,"PUG","16-19",1,0,1,0,0
"937",2021-01-03,"PUG","20-29",93,116,207,2,0
"938",2021-01-03,"PUG","30-39",187,209,396,0,0
"939",2021-01-03,"PUG","40-49",203,278,477,2,2
"940",2021-01-03,"PUG","50-59",235,253,482,4,2
"941",2021-01-03,"PUG","60-69",141,76,205,5,7
"942",2021-01-03,"PUG","70-79",31,27,29,9,20
"943",2021-01-03,"PUG","80-89",10,40,0,21,29
"944",2021-01-03,"PUG","90+",6,15,0,14,7
"945",2021-01-03,"SAR","16-19",0,0,0,0,0
"946",2021-01-03,"SAR","20-29",2,7,9,0,0
"947",2021-01-03,"SAR","30-39",5,6,11,0,0
"948",2021-01-03,"SAR","40-49",7,12,19,0,0
"949",2021-01-03,"SAR","50-59",10,16,26,0,0
"950",2021-01-03,"SAR","60-69",11,13,23,1,0
"951",2021-01-03,"SAR","70-79",1,0,1,0,0
"952",2021-01-03,"SAR","80-89",0,0,0,0,0
"953",2021-01-03,"SAR","90+",0,0,0,0,0
"954",2021-01-03,"SIC","16-19",2,1,2,1,0
"955",2021-01-03,"SIC","20-29",256,283,521,18,0
"956",2021-01-03,"SIC","30-39",424,445,830,39,0
"957",2021-01-03,"SIC","40-49",489,541,927,103,0
"958",2021-01-03,"SIC","50-59",697,613,1213,97,0
"959",2021-01-03,"SIC","60-69",521,319,776,64,0
"960",2021-01-03,"SIC","70-79",21,3,15,9,0
"961",2021-01-03,"SIC","80-89",0,0,0,0,0
"962",2021-01-03,"SIC","90+",0,0,0,0,0
"963",2021-01-03,"TOS","16-19",0,0,0,0,0
"964",2021-01-03,"TOS","20-29",146,296,437,1,4
"965",2021-01-03,"TOS","30-39",214,382,586,2,8
"966",2021-01-03,"TOS","40-49",176,455,605,2,24
"967",2021-01-03,"TOS","50-59",209,545,701,3,50
"968",2021-01-03,"TOS","60-69",140,141,213,0,68
"969",2021-01-03,"TOS","70-79",58,78,7,0,129
"970",2021-01-03,"TOS","80-89",73,179,1,0,251
"971",2021-01-03,"TOS","90+",27,196,3,0,220
"972",2021-01-03,"UMB","16-19",0,0,0,0,0
"973",2021-01-03,"UMB","20-29",8,27,35,0,0
"974",2021-01-03,"UMB","30-39",26,39,65,0,0
"975",2021-01-03,"UMB","40-49",32,48,80,0,0
"976",2021-01-03,"UMB","50-59",27,42,69,0,0
"977",2021-01-03,"UMB","60-69",17,4,21,0,0
"978",2021-01-03,"UMB","70-79",0,0,0,0,0
"979",2021-01-03,"UMB","80-89",0,0,0,0,0
"980",2021-01-03,"UMB","90+",0,0,0,0,0
"981",2021-01-03,"VEN","16-19",5,1,4,2,0
"982",2021-01-03,"VEN","20-29",183,463,615,31,0
"983",2021-01-03,"VEN","30-39",272,521,751,42,0
"984",2021-01-03,"VEN","40-49",297,917,1145,69,0
"985",2021-01-03,"VEN","50-59",397,1191,1469,119,0
"986",2021-01-03,"VEN","60-69",311,236,503,38,6
"987",2021-01-03,"VEN","70-79",33,28,19,3,39
"988",2021-01-03,"VEN","80-89",24,88,0,0,112
"989",2021-01-03,"VEN","90+",7,86,0,0,93
"990",2021-01-04,"ABR","16-19",0,0,0,0,0
"991",2021-01-04,"ABR","20-29",30,84,114,0,0
"992",2021-01-04,"ABR","30-39",94,149,242,1,0
"993",2021-01-04,"ABR","40-49",134,216,349,1,0
"994",2021-01-04,"ABR","50-59",143,270,411,2,0
"995",2021-01-04,"ABR","60-69",175,114,288,1,0
"996",2021-01-04,"ABR","70-79",1,0,1,0,0
"997",2021-01-04,"ABR","80-89",1,0,1,0,0
"998",2021-01-04,"ABR","90+",0,0,0,0,0
"999",2021-01-04,"BAS","16-19",0,0,0,0,0
"1000",2021-01-04,"BAS","20-29",4,9,13,0,0
"1001",2021-01-04,"BAS","30-39",32,50,77,5,0
"1002",2021-01-04,"BAS","40-49",46,68,97,17,0
"1003",2021-01-04,"BAS","50-59",57,62,100,19,0
"1004",2021-01-04,"BAS","60-69",50,27,64,13,0
"1005",2021-01-04,"BAS","70-79",1,1,1,1,0
"1006",2021-01-04,"BAS","80-89",0,0,0,0,0
"1007",2021-01-04,"BAS","90+",0,0,0,0,0
"1008",2021-01-04,"CAL","16-19",0,0,0,0,0
"1009",2021-01-04,"CAL","20-29",26,42,59,9,0
"1010",2021-01-04,"CAL","30-39",101,95,190,6,0
"1011",2021-01-04,"CAL","40-49",112,165,272,5,0
"1012",2021-01-04,"CAL","50-59",152,166,306,12,0
"1013",2021-01-04,"CAL","60-69",141,84,209,16,0
"1014",2021-01-04,"CAL","70-79",4,0,2,2,0
"1015",2021-01-04,"CAL","80-89",0,0,0,0,0
"1016",2021-01-04,"CAL","90+",0,0,0,0,0
"1017",2021-01-04,"CAM","16-19",0,0,0,0,0
"1018",2021-01-04,"CAM","20-29",151,288,411,28,0
"1019",2021-01-04,"CAM","30-39",434,517,871,80,0
"1020",2021-01-04,"CAM","40-49",483,650,1015,118,0
"1021",2021-01-04,"CAM","50-59",832,916,1530,218,0
"1022",2021-01-04,"CAM","60-69",950,522,1264,208,0
"1023",2021-01-04,"CAM","70-79",91,14,98,7,0
"1024",2021-01-04,"CAM","80-89",9,0,8,1,0
"1025",2021-01-04,"CAM","90+",0,0,0,0,0
"1026",2021-01-04,"EMR","16-19",0,4,1,3,0
"1027",2021-01-04,"EMR","20-29",253,537,635,155,0
"1028",2021-01-04,"EMR","30-39",582,896,1183,294,1
"1029",2021-01-04,"EMR","40-49",478,1058,1193,343,0
"1030",2021-01-04,"EMR","50-59",514,1348,1391,465,6
"1031",2021-01-04,"EMR","60-69",447,460,673,210,24
"1032",2021-01-04,"EMR","70-79",86,68,43,33,78
"1033",2021-01-04,"EMR","80-89",85,159,28,56,160
"1034",2021-01-04,"EMR","90+",52,171,23,47,153
"1035",2021-01-04,"FVG","16-19",0,1,0,1,0
"1036",2021-01-04,"FVG","20-29",91,148,165,74,0
"1037",2021-01-04,"FVG","30-39",105,179,252,32,0
"1038",2021-01-04,"FVG","40-49",101,237,303,35,0
"1039",2021-01-04,"FVG","50-59",108,279,354,33,0
"1040",2021-01-04,"FVG","60-69",112,90,188,14,0
"1041",2021-01-04,"FVG","70-79",30,6,34,2,0
"1042",2021-01-04,"FVG","80-89",4,1,3,2,0
"1043",2021-01-04,"FVG","90+",0,0,0,0,0
"1044",2021-01-04,"LAZ","16-19",2,5,7,0,0
"1045",2021-01-04,"LAZ","20-29",212,374,558,26,2
"1046",2021-01-04,"LAZ","30-39",476,703,1092,81,6
"1047",2021-01-04,"LAZ","40-49",568,1139,1536,155,16
"1048",2021-01-04,"LAZ","50-59",783,1402,1976,177,32
"1049",2021-01-04,"LAZ","60-69",707,651,1250,62,46
"1050",2021-01-04,"LAZ","70-79",69,45,48,7,59
"1051",2021-01-04,"LAZ","80-89",34,104,5,9,124
"1052",2021-01-04,"LAZ","90+",11,67,0,4,74
"1053",2021-01-04,"LIG","16-19",1,3,1,3,0
"1054",2021-01-04,"LIG","20-29",78,192,232,38,0
"1055",2021-01-04,"LIG","30-39",153,231,344,35,5
"1056",2021-01-04,"LIG","40-49",143,416,509,43,7
"1057",2021-01-04,"LIG","50-59",252,612,762,76,26
"1058",2021-01-04,"LIG","60-69",190,172,304,43,15
"1059",2021-01-04,"LIG","70-79",16,8,3,7,14
"1060",2021-01-04,"LIG","80-89",12,80,0,2,90
"1061",2021-01-04,"LIG","90+",8,66,0,0,74
"1062",2021-01-04,"LOM","16-19",1,6,7,0,0
"1063",2021-01-04,"LOM","20-29",193,447,603,37,0
"1064",2021-01-04,"LOM","30-39",584,729,1230,83,0
"1065",2021-01-04,"LOM","40-49",504,1152,1532,124,0
"1066",2021-01-04,"LOM","50-59",592,1500,1888,204,0
"1067",2021-01-04,"LOM","60-69",433,325,705,49,4
"1068",2021-01-04,"LOM","70-79",31,27,28,2,28
"1069",2021-01-04,"LOM","80-89",15,59,0,0,74
"1070",2021-01-04,"LOM","90+",5,63,0,0,68
"1071",2021-01-04,"MAR","16-19",0,0,0,0,0
"1072",2021-01-04,"MAR","20-29",38,71,96,13,0
"1073",2021-01-04,"MAR","30-39",101,140,224,17,0
"1074",2021-01-04,"MAR","40-49",106,207,275,38,0
"1075",2021-01-04,"MAR","50-59",168,328,416,80,0
"1076",2021-01-04,"MAR","60-69",118,106,191,33,0
"1077",2021-01-04,"MAR","70-79",2,0,2,0,0
"1078",2021-01-04,"MAR","80-89",0,0,0,0,0
"1079",2021-01-04,"MAR","90+",0,0,0,0,0
"1080",2021-01-04,"MOL","16-19",0,0,0,0,0
"1081",2021-01-04,"MOL","20-29",7,11,18,0,0
"1082",2021-01-04,"MOL","30-39",21,26,45,2,0
"1083",2021-01-04,"MOL","40-49",23,67,86,4,0
"1084",2021-01-04,"MOL","50-59",44,56,92,8,0
"1085",2021-01-04,"MOL","60-69",34,18,50,2,0
"1086",2021-01-04,"MOL","70-79",1,0,1,0,0
"1087",2021-01-04,"MOL","80-89",0,0,0,0,0
"1088",2021-01-04,"MOL","90+",0,0,0,0,0
"1089",2021-01-04,"PAB","16-19",0,0,0,0,0
"1090",2021-01-04,"PAB","20-29",12,20,29,3,0
"1091",2021-01-04,"PAB","30-39",41,57,88,10,0
"1092",2021-01-04,"PAB","40-49",45,91,115,21,0
"1093",2021-01-04,"PAB","50-59",51,82,98,35,0
"1094",2021-01-04,"PAB","60-69",29,23,44,8,0
"1095",2021-01-04,"PAB","70-79",2,0,1,1,0
"1096",2021-01-04,"PAB","80-89",0,0,0,0,0
"1097",2021-01-04,"PAB","90+",0,0,0,0,0
"1098",2021-01-04,"PAT","16-19",0,0,0,0,0
"1099",2021-01-04,"PAT","20-29",20,52,69,3,0
"1100",2021-01-04,"PAT","30-39",27,53,76,4,0
"1101",2021-01-04,"PAT","40-49",31,132,145,17,1
"1102",2021-01-04,"PAT","50-59",33,144,158,14,5
"1103",2021-01-04,"PAT","60-69",23,42,38,7,20
"1104",2021-01-04,"PAT","70-79",31,25,4,3,49
"1105",2021-01-04,"PAT","80-89",21,101,0,0,122
"1106",2021-01-04,"PAT","90+",9,80,0,0,89
"1107",2021-01-04,"PIE","16-19",1,5,5,1,0
"1108",2021-01-04,"PIE","20-29",167,368,489,46,0
"1109",2021-01-04,"PIE","30-39",281,550,753,77,1
"1110",2021-01-04,"PIE","40-49",299,947,1105,141,0
"1111",2021-01-04,"PIE","50-59",465,1375,1493,344,3
"1112",2021-01-04,"PIE","60-69",325,360,583,91,11
"1113",2021-01-04,"PIE","70-79",28,14,7,3,32
"1114",2021-01-04,"PIE","80-89",20,55,1,0,74
"1115",2021-01-04,"PIE","90+",8,32,0,0,40
"1116",2021-01-04,"PUG","16-19",2,2,3,1,0
"1117",2021-01-04,"PUG","20-29",160,286,435,11,0
"1118",2021-01-04,"PUG","30-39",350,477,800,27,0
"1119",2021-01-04,"PUG","40-49",404,576,936,43,1
"1120",2021-01-04,"PUG","50-59",477,711,1123,64,1
"1121",2021-01-04,"PUG","60-69",371,200,518,50,3
"1122",2021-01-04,"PUG","70-79",16,15,20,1,10
"1123",2021-01-04,"PUG","80-89",10,16,9,2,15
"1124",2021-01-04,"PUG","90+",4,14,3,0,15
"1125",2021-01-04,"SAR","16-19",0,0,0,0,0
"1126",2021-01-04,"SAR","20-29",10,38,47,1,0
"1127",2021-01-04,"SAR","30-39",55,74,126,3,0
"1128",2021-01-04,"SAR","40-49",37,92,123,6,0
"1129",2021-01-04,"SAR","50-59",58,110,159,9,0
"1130",2021-01-04,"SAR","60-69",51,47,96,2,0
"1131",2021-01-04,"SAR","70-79",0,0,0,0,0
"1132",2021-01-04,"SAR","80-89",0,0,0,0,0
"1133",2021-01-04,"SAR","90+",1,0,1,0,0
"1134",2021-01-04,"SIC","16-19",6,4,3,7,0
"1135",2021-01-04,"SIC","20-29",267,352,553,66,0
"1136",2021-01-04,"SIC","30-39",656,677,1216,117,0
"1137",2021-01-04,"SIC","40-49",750,923,1475,198,0
"1138",2021-01-04,"SIC","50-59",1109,1231,2104,235,1
"1139",2021-01-04,"SIC","60-69",920,625,1427,118,0
"1140",2021-01-04,"SIC","70-79",58,15,59,13,1
"1141",2021-01-04,"SIC","80-89",2,4,1,1,4
"1142",2021-01-04,"SIC","90+",1,0,1,0,0
"1143",2021-01-04,"TOS","16-19",4,4,7,0,1
"1144",2021-01-04,"TOS","20-29",336,493,813,12,4
"1145",2021-01-04,"TOS","30-39",422,566,967,9,12
"1146",2021-01-04,"TOS","40-49",268,612,863,4,13
"1147",2021-01-04,"TOS","50-59",333,700,986,4,43
"1148",2021-01-04,"TOS","60-69",296,233,433,2,94
"1149",2021-01-04,"TOS","70-79",97,74,16,0,155
"1150",2021-01-04,"TOS","80-89",93,237,3,1,326
"1151",2021-01-04,"TOS","90+",38,241,0,0,279
"1152",2021-01-04,"UMB","16-19",0,0,0,0,0
"1153",2021-01-04,"UMB","20-29",16,33,49,0,0
"1154",2021-01-04,"UMB","30-39",87,101,188,0,0
"1155",2021-01-04,"UMB","40-49",63,142,204,1,0
"1156",2021-01-04,"UMB","50-59",89,95,184,0,0
"1157",2021-01-04,"UMB","60-69",123,52,175,0,0
"1158",2021-01-04,"UMB","70-79",3,3,6,0,0
"1159",2021-01-04,"UMB","80-89",0,0,0,0,0
"1160",2021-01-04,"UMB","90+",0,0,0,0,0
"1161",2021-01-04,"VDA","16-19",2,4,6,0,0
"1162",2021-01-04,"VDA","20-29",12,13,25,0,0
"1163",2021-01-04,"VDA","30-39",10,23,33,0,0
"1164",2021-01-04,"VDA","40-49",9,32,41,0,0
"1165",2021-01-04,"VDA","50-59",22,10,32,0,0
"1166",2021-01-04,"VDA","60-69",2,1,3,0,0
"1167",2021-01-04,"VDA","70-79",2,0,2,0,0
"1168",2021-01-04,"VDA","80-89",0,0,0,0,0
"1169",2021-01-04,"VDA","90+",0,0,0,0,0
"1170",2021-01-04,"VEN","16-19",2,3,4,1,0
"1171",2021-01-04,"VEN","20-29",219,524,721,22,0
"1172",2021-01-04,"VEN","30-39",346,685,984,47,0
"1173",2021-01-04,"VEN","40-49",340,1034,1273,97,4
"1174",2021-01-04,"VEN","50-59",505,1398,1670,210,23
"1175",2021-01-04,"VEN","60-69",372,352,595,74,55
"1176",2021-01-04,"VEN","70-79",87,101,28,10,150
"1177",2021-01-04,"VEN","80-89",93,276,1,2,366
"1178",2021-01-04,"VEN","90+",34,226,0,1,259
"1179",2021-01-05,"ABR","16-19",0,0,0,0,0
"1180",2021-01-05,"ABR","20-29",34,106,140,0,0
"1181",2021-01-05,"ABR","30-39",105,204,306,3,0
"1182",2021-01-05,"ABR","40-49",140,262,399,3,0
"1183",2021-01-05,"ABR","50-59",152,306,456,2,0
"1184",2021-01-05,"ABR","60-69",161,134,293,2,0
"1185",2021-01-05,"ABR","70-79",12,1,13,0,0
"1186",2021-01-05,"ABR","80-89",0,0,0,0,0
"1187",2021-01-05,"ABR","90+",0,0,0,0,0
"1188",2021-01-05,"BAS","16-19",0,0,0,0,0
"1189",2021-01-05,"BAS","20-29",18,30,48,0,0
"1190",2021-01-05,"BAS","30-39",33,49,81,1,0
"1191",2021-01-05,"BAS","40-49",63,124,177,10,0
"1192",2021-01-05,"BAS","50-59",57,123,172,8,0
"1193",2021-01-05,"BAS","60-69",91,60,141,10,0
"1194",2021-01-05,"BAS","70-79",0,0,0,0,0
"1195",2021-01-05,"BAS","80-89",0,0,0,0,0
"1196",2021-01-05,"BAS","90+",0,0,0,0,0
"1197",2021-01-05,"CAL","16-19",0,0,0,0,0
"1198",2021-01-05,"CAL","20-29",26,48,59,15,0
"1199",2021-01-05,"CAL","30-39",109,165,255,19,0
"1200",2021-01-05,"CAL","40-49",143,216,331,28,0
"1201",2021-01-05,"CAL","50-59",204,229,403,30,0
"1202",2021-01-05,"CAL","60-69",205,139,292,52,0
"1203",2021-01-05,"CAL","70-79",11,0,9,2,0
"1204",2021-01-05,"CAL","80-89",0,0,0,0,0
"1205",2021-01-05,"CAL","90+",0,0,0,0,0
"1206",2021-01-05,"CAM","16-19",0,0,0,0,0
"1207",2021-01-05,"CAM","20-29",211,327,506,32,0
"1208",2021-01-05,"CAM","30-39",538,614,1028,124,0
"1209",2021-01-05,"CAM","40-49",608,757,1212,153,0
"1210",2021-01-05,"CAM","50-59",1016,1108,1849,274,1
"1211",2021-01-05,"CAM","60-69",1070,635,1432,269,4
"1212",2021-01-05,"CAM","70-79",93,33,89,27,10
"1213",2021-01-05,"CAM","80-89",5,14,4,4,11
"1214",2021-01-05,"CAM","90+",3,14,1,1,15
"1215",2021-01-05,"EMR","16-19",1,4,3,2,0
"1216",2021-01-05,"EMR","20-29",280,642,655,266,1
"1217",2021-01-05,"EMR","30-39",719,1127,1285,560,1
"1218",2021-01-05,"EMR","40-49",592,1391,1306,671,6
"1219",2021-01-05,"EMR","50-59",596,1683,1510,750,19
"1220",2021-01-05,"EMR","60-69",616,660,824,409,43
"1221",2021-01-05,"EMR","70-79",148,79,81,55,91
"1222",2021-01-05,"EMR","80-89",80,181,4,58,199
"1223",2021-01-05,"EMR","90+",46,219,1,59,205
"1224",2021-01-05,"FVG","16-19",0,0,0,0,0
"1225",2021-01-05,"FVG","20-29",73,136,152,57,0
"1226",2021-01-05,"FVG","30-39",84,171,231,24,0
"1227",2021-01-05,"FVG","40-49",93,250,305,38,0
"1228",2021-01-05,"FVG","50-59",91,286,329,48,0
"1229",2021-01-05,"FVG","60-69",104,104,184,24,0
"1230",2021-01-05,"FVG","70-79",43,28,39,1,31
"1231",2021-01-05,"FVG","80-89",33,47,3,1,76
"1232",2021-01-05,"FVG","90+",13,66,0,0,79
"1233",2021-01-05,"LAZ","16-19",1,1,2,0,0
"1234",2021-01-05,"LAZ","20-29",199,378,541,34,2
"1235",2021-01-05,"LAZ","30-39",437,709,1061,82,3
"1236",2021-01-05,"LAZ","40-49",463,964,1276,132,19
"1237",2021-01-05,"LAZ","50-59",709,1209,1705,167,46
"1238",2021-01-05,"LAZ","60-69",608,591,1027,92,80
"1239",2021-01-05,"LAZ","70-79",74,66,32,16,92
"1240",2021-01-05,"LAZ","80-89",59,163,1,25,196
"1241",2021-01-05,"LAZ","90+",26,106,0,14,118
"1242",2021-01-05,"LIG","16-19",1,0,1,0,0
"1243",2021-01-05,"LIG","20-29",57,133,157,32,1
