"","data_somministrazione","area","totale","sesso_maschile","sesso_femminile","categoria_operatori_sanitari_sociosanitari","categoria_personale_non_sanitario","categoria_ospiti_rsa"
"112",2021-01-04,"ABR",1411,578,833,1406,5,0
"113",2021-01-04,"BAS",407,190,217,352,55,0
"114",2021-01-04,"CAL",1088,536,552,1038,50,0
"115",2021-01-04,"CAM",5857,2950,2907,5197,660,0
"116",2021-01-04,"EMR",7198,2497,4701,5170,1606,422
"117",2021-01-04,"FVG",1492,551,941,1299,193,0
"118",2021-01-04,"LAZ",7352,2862,4490,6472,521,359
"119",2021-01-04,"LIG",2633,853,1780,2155,247,231
"120",2021-01-04,"LOM",6666,2358,4308,5993,499,174
"121",2021-01-04,"MAR",1385,533,852,1204,181,0
"122",2021-01-04,"MOL",308,130,178,292,16,0
"123",2021-01-04,"PAB",453,180,273,375,78,0
"124",2021-01-04,"PAT",824,195,629,490,48,286
"125",2021-01-04,"PIE",5300,1594,3706,4436,703,161
"126",2021-01-04,"PUG",4091,1794,2297,3847,199,45
"127",2021-01-04,"SAR",573,212,361,552,21,0
"128",2021-01-04,"SIC",7600,3769,3831,6839,755,6
"129",2021-01-04,"TOS",5047,1887,3160,4088,32,927
"130",2021-01-04,"UMB",807,381,426,806,1,0
"131",2021-01-04,"VDA",142,59,83,142,0,0
"132",2021-01-04,"VEN",6597,1998,4599,5276,464,857
"133",2021-01-05,"ABR",1617,604,1013,1607,10,0
"134",2021-01-05,"BAS",648,262,386,619,29,0
"135",2021-01-05,"CAL",1495,698,797,1349,146,0
"136",2021-01-05,"CAM",7046,3544,3502,6121,884,41
"137",2021-01-05,"EMR",9064,3078,5986,5669,2830,565
"138",2021-01-05,"FVG",1622,534,1088,1243,193,186
"139",2021-01-05,"LAZ",6763,2576,4187,5645,562,556
"140",2021-01-05,"LIG",2878,892,1986,2295,327,256
"141",2021-01-05,"LOM",7636,2495,5141,6663,773,200
"142",2021-01-05,"MAR",1502,557,945,1368,134,0
