data_somministrazione,area,fascia_anagrafica,nuovi_vaccinati,sesso_maschile,sesso_femminile,operatori_sanitari,personale_non_sanitario,ospiti_rsa
2021-01-05,MAR,16-19,0,0,0,0,0,0
2021-01-05,MAR,20-29,141,51,90,134,7,0
2021-01-05,MAR,30-39,336,134,202,319,17,0
2021-01-05,MAR,40-49,394,129,265,362,32,0
2021-01-05,MAR,50-59,444,147,297,396,48,0
2021-01-05,MAR,60-69,185,94,91,156,29,0
2021-01-05,MAR,70-79,2,2,0,1,1,0
2021-01-05,MAR,80-89,0,0,0,0,0,0
2021-01-05,MAR,90+,0,0,0,0,0,0
2021-01-05,MOL,16-19,0,0,0,0,0,0
2021-01-05,MOL,20-29,17,7,10,17,0,0
2021-01-05,MOL,30-39,57,20,37,57,0,0
2021-01-05,MOL,40-49,108,36,72,104,4,0
2021-01-05,MOL,50-59,164,62,102,161,3,0
2021-01-05,MOL,60-69,101,54,47,100,1,0
2021-01-05,MOL,70-79,1,1,0,1,0,0
2021-01-05,MOL,80-89,0,0,0,0,0,0
2021-01-05,MOL,90+,0,0,0,0,0,0
2021-01-05,PAB,16-19,0,0,0,0,0,0
2021-01-05,PAB,20-29,70,18,52,63,7,0
2021-01-05,PAB,30-39,132,52,80,120,12,0
2021-01-05,PAB,40-49,255,73,182,218,37,0
2021-01-05,PAB,50-59,271,86,185,208,63,0
2021-01-05,PAB,60-69,85,54,31,70,15,0
2021-01-05,PAB,70-79,4,4,0,4,0,0
2021-01-05,PAB,80-89,0,0,0,0,0,0
2021-01-05,PAB,90+,0,0,0,0,0,0
2021-01-05,PAT,16-19,0,0,0,0,0,0
2021-01-05,PAT,20-29,61,15,46,57,3,1
2021-01-05,PAT,30-39,114,44,70,101,13,0
2021-01-05,PAT,40-49,149,54,95,140,9,0
2021-01-05,PAT,50-59,165,50,115,146,16,3
2021-01-05,PAT,60-69,58,26,32,39,8,11
2021-01-05,PAT,70-79,32,18,14,2,2,28
2021-01-05,PAT,80-89,60,17,43,0,0,60
2021-01-05,PAT,90+,55,9,46,0,1,54
2021-01-05,PIE,16-19,5,1,4,4,1,0
2021-01-05,PIE,20-29,557,184,373,495,62,0
2021-01-05,PIE,30-39,850,291,559,764,85,1
2021-01-05,PIE,40-49,1163,289,874,1024,139,0
2021-01-05,PIE,50-59,1738,409,1329,1434,297,7
2021-01-05,PIE,60-69,749,335,414,610,119,20
2021-01-05,PIE,70-79,81,50,31,15,13,53
2021-01-05,PIE,80-89,123,33,90,5,4,114
2021-01-05,PIE,90+,87,8,79,1,2,84
2021-01-05,PUG,16-19,5,3,2,2,3,0
2021-01-05,PUG,20-29,457,142,315,447,10,0
2021-01-05,PUG,30-39,992,437,555,946,45,1
2021-01-05,PUG,40-49,1307,491,816,1230,76,1
2021-01-05,PUG,50-59,1535,695,840,1404,127,4
2021-01-05,PUG,60-69,956,609,347,885,59,12
2021-01-05,PUG,70-79,54,22,32,24,6,24
2021-01-05,PUG,80-89,54,16,38,2,2,50
2021-01-05,PUG,90+,20,6,14,4,0,16
2021-01-05,SAR,16-19,0,0,0,0,0,0
2021-01-05,SAR,20-29,77,25,52,69,8,0
2021-01-05,SAR,30-39,203,74,129,197,6,0
2021-01-05,SAR,40-49,320,88,232,313,7,0
2021-01-05,SAR,50-59,435,129,306,427,8,0
2021-01-05,SAR,60-69,212,101,111,204,8,0
2021-01-05,SAR,70-79,0,0,0,0,0,0
2021-01-05,SAR,80-89,0,0,0,0,0,0
2021-01-05,SAR,90+,0,0,0,0,0,0
2021-01-05,SIC,16-19,43,21,22,29,14,0
2021-01-05,SIC,20-29,979,404,575,891,88,0
2021-01-05,SIC,30-39,1592,763,829,1425,167,0
2021-01-05,SIC,40-49,2105,928,1177,1778,324,3
2021-01-05,SIC,50-59,3013,1418,1595,2590,406,17
2021-01-05,SIC,60-69,2174,1279,895,1918,243,13
2021-01-05,SIC,70-79,163,123,40,107,26,30
2021-01-05,SIC,80-89,110,46,64,15,18,77
2021-01-05,SIC,90+,49,15,34,6,4,39
2021-01-05,TOS,16-19,17,4,13,17,0,0
2021-01-05,TOS,20-29,877,294,583,874,1,2
2021-01-05,TOS,30-39,928,344,584,923,2,3
2021-01-05,TOS,40-49,984,304,680,973,2,9
2021-01-05,TOS,50-59,1123,322,801,1100,4,19
2021-01-05,TOS,60-69,506,259,247,436,1,69
2021-01-05,TOS,70-79,168,87,81,17,0,151
2021-01-05,TOS,80-89,344,101,243,3,1,340
2021-01-05,TOS,90+,289,37,252,3,0,286
2021-01-05,UMB,16-19,0,0,0,0,0,0
2021-01-05,UMB,20-29,27,11,16,27,0,0
2021-01-05,UMB,30-39,151,61,90,151,0,0
2021-01-05,UMB,40-49,206,78,128,206,0,0
2021-01-05,UMB,50-59,208,98,110,208,0,0
2021-01-05,UMB,60-69,254,169,85,254,0,0
2021-01-05,UMB,70-79,10,8,2,10,0,0
2021-01-05,UMB,80-89,0,0,0,0,0,0
2021-01-05,UMB,90+,0,0,0,0,0,0
2021-01-05,VDA,16-19,0,0,0,0,0,0
2021-01-05,VDA,20-29,11,6,5,11,0,0
2021-01-05,VDA,30-39,22,9,13,22,0,0
2021-01-05,VDA,40-49,31,8,23,31,0,0
2021-01-05,VDA,50-59,59,19,40,59,0,0
2021-01-05,VDA,60-69,17,7,10,16,0,1
2021-01-05,VDA,70-79,4,1,3,0,0,4
2021-01-05,VDA,80-89,5,4,1,0,0,5
2021-01-05,VDA,90+,1,0,1,0,0,1
2021-01-05,VEN,16-19,4,1,3,2,2,0
2021-01-05,VEN,20-29,794,241,553,748,43,3
2021-01-05,VEN,30-39,1058,362,696,968,81,9
2021-01-05,VEN,40-49,1507,384,1123,1335,160,12
2021-01-05,VEN,50-59,2102,496,1606,1771,279,52
2021-01-05,VEN,60-69,826,415,411,655,84,87
2021-01-05,VEN,70-79,213,104,109,28,18,167
2021-01-05,VEN,80-89,409,118,291,8,2,399
2021-01-05,VEN,90+,389,52,337,1,1,387
2021-01-06,ABR,16-19,0,0,0,0,0,0
2021-01-06,ABR,20-29,162,51,111,157,5,0
2021-01-06,ABR,30-39,334,133,201,324,10,0
2021-01-06,ABR,40-49,381,119,262,373,7,1
2021-01-06,ABR,50-59,444,140,304,434,7,3
2021-01-06,ABR,60-69,267,141,126,243,4,20
2021-01-06,ABR,70-79,64,40,24,22,0,42
2021-01-06,ABR,80-89,46,16,30,1,0,45
2021-01-06,ABR,90+,22,6,16,0,0,22
2021-01-06,BAS,16-19,0,0,0,0,0,0
2021-01-06,BAS,20-29,11,2,9,11,0,0
2021-01-06,BAS,30-39,28,17,11,28,0,0
2021-01-06,BAS,40-49,51,29,22,51,0,0
2021-01-06,BAS,50-59,77,30,47,77,0,0
2021-01-06,BAS,60-69,37,24,13,37,0,0
2021-01-06,BAS,70-79,4,1,3,4,0,0
2021-01-06,BAS,80-89,4,0,4,4,0,0
2021-01-06,BAS,90+,8,1,7,8,0,0
2021-01-06,CAL,16-19,0,0,0,0,0,0
2021-01-06,CAL,20-29,62,18,44,60,2,0
2021-01-06,CAL,30-39,213,99,114,210,3,0
2021-01-06,CAL,40-49,251,107,144,235,16,0
2021-01-06,CAL,50-59,317,172,145,293,24,0
2021-01-06,CAL,60-69,218,140,78,204,14,0
2021-01-06,CAL,70-79,12,11,1,12,0,0
2021-01-06,CAL,80-89,1,0,1,0,1,0
2021-01-06,CAL,90+,0,0,0,0,0,0
2021-01-06,CAM,16-19,2,2,0,1,1,0
2021-01-06,CAM,20-29,694,260,434,624,61,9
2021-01-06,CAM,30-39,1238,554,684,1080,147,11
2021-01-06,CAM,40-49,1359,592,767,1144,202,13
2021-01-06,CAM,50-59,2027,940,1087,1675,320,32
2021-01-06,CAM,60-69,2019,1256,763,1736,249,34
2021-01-06,CAM,70-79,169,108,61,83,23,63
2021-01-06,CAM,80-89,95,32,63,6,2,87
2021-01-06,CAM,90+,58,14,44,1,2,55
2021-01-06,EMR,16-19,9,5,4,4,5,0
2021-01-06,EMR,20-29,928,275,653,637,287,4
2021-01-06,EMR,30-39,1492,585,907,1013,473,6
2021-01-06,EMR,40-49,1588,482,1106,1105,474,9
2021-01-06,EMR,50-59,2040,592,1448,1391,637,12
2021-01-06,EMR,60-69,1181,577,604,810,340,31
2021-01-06,EMR,70-79,323,244,79,164,89,70
2021-01-06,EMR,80-89,242,82,160,15,64,163
2021-01-06,EMR,90+,236,35,201,3,44,189
2021-01-06,FVG,16-19,1,0,1,0,1,0
2021-01-06,FVG,20-29,136,46,90,72,64,0
2021-01-06,FVG,30-39,114,43,71,85,29,0
2021-01-06,FVG,40-49,158,44,114,93,65,0
2021-01-06,FVG,50-59,176,63,113,101,75,0
2021-01-06,FVG,60-69,91,47,44,66,25,0
2021-01-06,FVG,70-79,29,18,11,24,5,0
2021-01-06,FVG,80-89,3,3,0,2,1,0
2021-01-06,FVG,90+,1,0,1,1,0,0
2021-01-06,LAZ,16-19,13,5,8,11,1,1
2021-01-06,LAZ,20-29,721,283,438,636,79,6
2021-01-06,LAZ,30-39,867,341,526,776,76,15
2021-01-06,LAZ,40-49,982,313,669,855,105,22
2021-01-06,LAZ,50-59,1244,420,824,1081,127,36
2021-01-06,LAZ,60-69,764,387,377,679,49,36
2021-01-06,LAZ,70-79,87,46,41,45,7,35
2021-01-06,LAZ,80-89,114,22,92,10,8,96
2021-01-06,LAZ,90+,62,12,50,5,2,55
2021-01-06,LIG,16-19,4,1,3,2,2,0
2021-01-06,LIG,20-29,145,57,88,112,33,0
2021-01-06,LIG,30-39,174,69,105,155,19,0
2021-01-06,LIG,40-49,326,91,235,288,38,0
2021-01-06,LIG,50-59,534,180,354,471,63,0
2021-01-06,LIG,60-69,266,155,111,221,43,2
2021-01-06,LIG,70-79,39,27,12,9,8,22
2021-01-06,LIG,80-89,90,21,69,2,2,86
2021-01-06,LIG,90+,77,9,68,1,0,76
2021-01-06,LOM,16-19,3,0,3,3,0,0
2021-01-06,LOM,20-29,936,333,603,816,119,1
2021-01-06,LOM,30-39,1420,570,850,1269,151,0
2021-01-06,LOM,40-49,1600,466,1134,1375,219,6
2021-01-06,LOM,50-59,2098,584,1514,1653,442,3
2021-01-06,LOM,60-69,1000,507,493,826,172,2
2021-01-06,LOM,70-79,70,45,25,37,22,11
2021-01-06,LOM,80-89,24,4,20,2,1,21
2021-01-06,LOM,90+,14,1,13,0,0,14
2021-01-06,MAR,16-19,0,0,0,0,0,0
2021-01-06,MAR,20-29,172,53,119,157,15,0
2021-01-06,MAR,30-39,363,120,243,316,47,0
2021-01-06,MAR,40-49,480,145,335,412,67,1
2021-01-06,MAR,50-59,572,169,403,461,106,5
2021-01-06,MAR,60-69,404,248,156,306,91,7
2021-01-06,MAR,70-79,45,33,12,20,7,18
2021-01-06,MAR,80-89,50,14,36,2,1,47
2021-01-06,MAR,90+,52,3,49,0,23,29
2021-01-06,MOL,16-19,1,1,0,0,1,0
2021-01-06,MOL,20-29,34,14,20,31,3,0
2021-01-06,MOL,30-39,80,36,44,76,4,0
2021-01-06,MOL,40-49,99,36,63,94,5,0
2021-01-06,MOL,50-59,154,63,91,137,17,0
2021-01-06,MOL,60-69,110,51,59,103,4,3
2021-01-06,MOL,70-79,24,10,14,2,3,19
2021-01-06,MOL,80-89,89,27,62,0,14,75
2021-01-06,MOL,90+,89,19,70,0,5,84
2021-01-06,PAB,16-19,0,0,0,0,0,0
2021-01-06,PAB,20-29,5,1,4,5,0,0
2021-01-06,PAB,30-39,11,2,9,8,3,0
2021-01-06,PAB,40-49,15,5,10,11,4,0
2021-01-06,PAB,50-59,18,6,12,10,8,0
2021-01-06,PAB,60-69,9,3,6,5,4,0
2021-01-06,PAB,70-79,2,2,0,1,1,0
2021-01-06,PAB,80-89,0,0,0,0,0,0
2021-01-06,PAB,90+,0,0,0,0,0,0
2021-01-06,PAT,16-19,0,0,0,0,0,0
2021-01-06,PAT,20-29,7,0,7,7,0,0
2021-01-06,PAT,30-39,15,7,8,15,0,0
2021-01-06,PAT,40-49,10,5,5,10,0,0
2021-01-06,PAT,50-59,8,1,7,8,0,0
2021-01-06,PAT,60-69,2,0,2,2,0,0
2021-01-06,PAT,70-79,0,0,0,0,0,0
2021-01-06,PAT,80-89,0,0,0,0,0,0
2021-01-06,PAT,90+,0,0,0,0,0,0
2021-01-06,PIE,16-19,10,1,9,3,7,0
2021-01-06,PIE,20-29,272,96,176,220,50,2
2021-01-06,PIE,30-39,434,168,266,372,62,0
2021-01-06,PIE,40-49,530,127,403,451,78,1
2021-01-06,PIE,50-59,880,244,636,742,128,10
2021-01-06,PIE,60-69,640,339,301,549,73,18
2021-01-06,PIE,70-79,92,58,34,20,26,46
2021-01-06,PIE,80-89,135,48,87,3,2,130
2021-01-06,PIE,90+,109,23,86,2,0,107
2021-01-06,PUG,16-19,0,0,0,0,0,0
2021-01-06,PUG,20-29,297,90,207,292,4,1
2021-01-06,PUG,30-39,590,251,339,576,11,3
2021-01-06,PUG,40-49,746,273,473,722,19,5
2021-01-06,PUG,50-59,989,419,570,929,29,31
2021-01-06,PUG,60-69,616,348,268,544,29,43
2021-01-06,PUG,70-79,86,38,48,23,2,61
2021-01-06,PUG,80-89,134,28,106,11,0,123
2021-01-06,PUG,90+,90,20,70,2,0,88
2021-01-06,SAR,16-19,0,0,0,0,0,0
2021-01-06,SAR,20-29,156,44,112,147,9,0
2021-01-06,SAR,30-39,323,109,214,312,11,0
2021-01-06,SAR,40-49,378,122,256,351,27,0
2021-01-06,SAR,50-59,485,145,340,442,43,0
2021-01-06,SAR,60-69,241,115,126,218,23,0
2021-01-06,SAR,70-79,3,3,0,3,0,0
2021-01-06,SAR,80-89,1,1,0,1,0,0
2021-01-06,SAR,90+,0,0,0,0,0,0
2021-01-06,SIC,16-19,13,7,6,9,4,0
2021-01-06,SIC,20-29,551,232,319,466,85,0
2021-01-06,SIC,30-39,927,438,489,803,124,0
2021-01-06,SIC,40-49,1196,561,635,1039,156,1
2021-01-06,SIC,50-59,1735,828,907,1508,227,0
2021-01-06,SIC,60-69,1600,997,603,1447,151,2
2021-01-06,SIC,70-79,178,133,45,134,42,2
2021-01-06,SIC,80-89,25,14,11,13,11,1
2021-01-06,SIC,90+,1,1,0,1,0,0
2021-01-06,TOS,16-19,17,4,13,17,0,0
2021-01-06,TOS,20-29,995,332,663,987,3,5
2021-01-06,TOS,30-39,768,269,499,760,1,7
2021-01-06,TOS,40-49,848,230,618,828,1,19
2021-01-06,TOS,50-59,974,269,705,947,3,24
2021-01-06,TOS,60-69,420,204,216,383,2,35
2021-01-06,TOS,70-79,128,69,59,39,0,89
2021-01-06,TOS,80-89,170,50,120,2,0,168
2021-01-06,TOS,90+,146,13,133,1,0,145
2021-01-06,UMB,16-19,0,0,0,0,0,0
2021-01-06,UMB,20-29,52,17,35,52,0,0
2021-01-06,UMB,30-39,160,67,93,160,0,0
2021-01-06,UMB,40-49,180,54,126,180,0,0
2021-01-06,UMB,50-59,253,65,188,253,0,0
2021-01-06,UMB,60-69,199,118,81,199,0,0
2021-01-06,UMB,70-79,2,2,0,2,0,0
2021-01-06,UMB,80-89,0,0,0,0,0,0
2021-01-06,UMB,90+,0,0,0,0,0,0
2021-01-06,VDA,16-19,7,6,1,7,0,0
2021-01-06,VDA,20-29,7,3,4,7,0,0
2021-01-06,VDA,30-39,10,7,3,10,0,0
2021-01-06,VDA,40-49,12,6,6,12,0,0
2021-01-06,VDA,50-59,9,8,1,9,0,0
2021-01-06,VDA,60-69,4,2,2,3,0,1
2021-01-06,VDA,70-79,2,1,1,0,0,2
2021-01-06,VDA,80-89,7,0,7,0,0,7
2021-01-06,VDA,90+,8,1,7,0,0,8
2021-01-06,VEN,16-19,11,5,6,7,4,0
2021-01-06,VEN,20-29,944,280,664,869,67,8
2021-01-06,VEN,30-39,1260,444,816,1141,114,5
2021-01-06,VEN,40-49,1858,458,1400,1672,168,18
2021-01-06,VEN,50-59,2405,547,1858,2084,280,41
2021-01-06,VEN,60-69,847,431,416,683,105,59
2021-01-06,VEN,70-79,174,100,74,53,16,105
2021-01-06,VEN,80-89,307,75,232,2,5,300
2021-01-06,VEN,90+,264,25,239,0,0,264
2021-01-07,ABR,16-19,0,0,0,0,0,0
2021-01-07,ABR,20-29,180,51,129,179,1,0
2021-01-07,ABR,30-39,300,96,204,298,2,0
2021-01-07,ABR,40-49,456,128,328,446,10,0
2021-01-07,ABR,50-59,512,151,361,496,16,0
2021-01-07,ABR,60-69,258,137,121,250,8,0
2021-01-07,ABR,70-79,10,9,1,10,0,0
2021-01-07,ABR,80-89,0,0,0,0,0,0
2021-01-07,ABR,90+,0,0,0,0,0,0
2021-01-07,BAS,16-19,0,0,0,0,0,0
2021-01-07,BAS,20-29,35,14,21,34,1,0
2021-01-07,BAS,30-39,72,36,36,71,0,1
2021-01-07,BAS,40-49,146,61,85,141,3,2
2021-01-07,BAS,50-59,193,91,102,190,2,1
2021-01-07,BAS,60-69,174,109,65,171,1,2
2021-01-07,BAS,70-79,11,8,3,5,1,5
2021-01-07,BAS,80-89,10,5,5,0,0,10
2021-01-07,BAS,90+,6,1,5,0,0,6
2021-01-07,CAL,16-19,0,0,0,0,0,0
2021-01-07,CAL,20-29,158,74,84,128,30,0
2021-01-07,CAL,30-39,466,220,246,434,32,0
2021-01-07,CAL,40-49,564,254,310,487,77,0
2021-01-07,CAL,50-59,943,411,532,851,92,0
2021-01-07,CAL,60-69,717,441,276,650,67,0
2021-01-07,CAL,70-79,27,25,2,26,1,0
2021-01-07,CAL,80-89,5,1,4,3,2,0
2021-01-07,CAL,90+,0,0,0,0,0,0
2021-01-07,CAM,16-19,5,3,2,5,0,0
2021-01-07,CAM,20-29,563,207,356,503,60,0
2021-01-07,CAM,30-39,1480,661,819,1297,183,0
2021-01-07,CAM,40-49,1718,652,1066,1470,245,3
2021-01-07,CAM,50-59,2614,1168,1446,2118,477,19
2021-01-07,CAM,60-69,2114,1279,835,1733,355,26
2021-01-07,CAM,70-79,203,158,45,108,19,76
2021-01-07,CAM,80-89,145,48,97,13,10,122
2021-01-07,CAM,90+,86,15,71,1,3,82
2021-01-07,EMR,16-19,6,4,2,2,4,0
2021-01-07,EMR,20-29,974,280,694,695,278,1
2021-01-07,EMR,30-39,1729,671,1058,1198,529,2
2021-01-07,EMR,40-49,2185,614,1571,1510,670,5
2021-01-07,EMR,50-59,2537,681,1856,1706,811,20
2021-01-07,EMR,60-69,1347,585,762,824,490,33
2021-01-07,EMR,70-79,384,283,101,101,159,124
2021-01-07,EMR,80-89,389,126,263,9,95,285
2021-01-07,EMR,90+,354,51,303,2,73,279
2021-01-07,FVG,16-19,2,0,2,0,2,0
2021-01-07,FVG,20-29,273,93,180,197,76,0
2021-01-07,FVG,30-39,378,131,247,325,53,0
2021-01-07,FVG,40-49,480,135,345,418,62,0
2021-01-07,FVG,50-59,561,157,404,476,83,2
2021-01-07,FVG,60-69,251,125,126,214,33,4
2021-01-07,FVG,70-79,53,41,12,30,5,18
2021-01-07,FVG,80-89,47,25,22,8,1,38
2021-01-07,FVG,90+,43,10,33,0,0,43
2021-01-07,LAZ,16-19,18,8,10,16,0,2
2021-01-07,LAZ,20-29,852,297,555,793,58,1
2021-01-07,LAZ,30-39,1312,490,822,1168,141,3
2021-01-07,LAZ,40-49,1597,508,1089,1370,212,15
2021-01-07,LAZ,50-59,1970,697,1273,1616,317,37
2021-01-07,LAZ,60-69,1174,570,604,991,120,63
2021-01-07,LAZ,70-79,179,98,81,68,17,94
2021-01-07,LAZ,80-89,207,49,158,14,21,172
2021-01-07,LAZ,90+,133,29,104,9,15,109
2021-01-07,LIG,16-19,5,3,2,1,4,0
2021-01-07,LIG,20-29,239,72,167,185,54,0
2021-01-07,LIG,30-39,414,164,250,348,65,1
2021-01-07,LIG,40-49,660,183,477,559,99,2
2021-01-07,LIG,50-59,941,287,654,761,169,11
2021-01-07,LIG,60-69,460,242,218,360,83,17
2021-01-07,LIG,70-79,107,56,51,12,23,72
2021-01-07,LIG,80-89,193,45,148,1,5,187
2021-01-07,LIG,90+,159,27,132,2,0,157
2021-01-07,LOM,16-19,10,3,7,7,3,0
2021-01-07,LOM,20-29,1116,355,761,1013,103,0
2021-01-07,LOM,30-39,1864,673,1191,1683,181,0
2021-01-07,LOM,40-49,2405,671,1734,2129,275,1
2021-01-07,LOM,50-59,3403,953,2450,2889,509,5
2021-01-07,LOM,60-69,1282,594,688,1069,190,23
2021-01-07,LOM,70-79,139,76,63,51,11,77
2021-01-07,LOM,80-89,265,56,209,2,2,261
2021-01-07,LOM,90+,233,33,200,0,0,233
2021-01-07,MAR,16-19,0,0,0,0,0,0
2021-01-07,MAR,20-29,219,73,146,201,18,0
2021-01-07,MAR,30-39,456,185,271,424,32,0
2021-01-07,MAR,40-49,505,153,352,462,43,0
2021-01-07,MAR,50-59,595,186,409,504,91,0
2021-01-07,MAR,60-69,250,121,129,215,35,0
2021-01-07,MAR,70-79,24,23,1,23,1,0
2021-01-07,MAR,80-89,0,0,0,0,0,0
2021-01-07,MAR,90+,0,0,0,0,0,0
2021-01-07,MOL,16-19,0,0,0,0,0,0
2021-01-07,MOL,20-29,26,14,12,19,7,0
2021-01-07,MOL,30-39,61,30,31,51,10,0
2021-01-07,MOL,40-49,94,32,62,80,14,0
2021-01-07,MOL,50-59,166,52,114,145,20,1
2021-01-07,MOL,60-69,104,45,59,90,6,8
2021-01-07,MOL,70-79,23,11,12,1,1,21
2021-01-07,MOL,80-89,60,16,44,0,3,57
2021-01-07,MOL,90+,60,8,52,0,1,59
2021-01-07,PAB,16-19,2,0,2,0,2,0
2021-01-07,PAB,20-29,74,31,43,55,19,0
2021-01-07,PAB,30-39,123,43,80,100,23,0
2021-01-07,PAB,40-49,222,62,160,176,46,0
2021-01-07,PAB,50-59,285,92,193,184,101,0
2021-01-07,PAB,60-69,77,42,35,56,21,0
2021-01-07,PAB,70-79,8,5,3,2,1,5
2021-01-07,PAB,80-89,16,6,10,0,0,16
2021-01-07,PAB,90+,7,4,3,0,0,7
2021-01-07,PAT,16-19,2,0,2,1,1,0
2021-01-07,PAT,20-29,109,20,89,104,5,0
2021-01-07,PAT,30-39,124,47,77,117,7,0
2021-01-07,PAT,40-49,190,52,138,175,15,0
2021-01-07,PAT,50-59,220,52,168,196,16,8
2021-01-07,PAT,60-69,83,26,57,51,6,26
2021-01-07,PAT,70-79,97,37,60,3,5,89
2021-01-07,PAT,80-89,246,56,190,1,9,236
2021-01-07,PAT,90+,200,20,180,0,6,194
2021-01-07,PIE,16-19,20,11,9,18,2,0
2021-01-07,PIE,20-29,505,166,339,449,56,0
2021-01-07,PIE,30-39,841,315,526,756,85,0
2021-01-07,PIE,40-49,1196,300,896,1022,174,0
2021-01-07,PIE,50-59,1741,475,1266,1342,398,1
2021-01-07,PIE,60-69,668,334,334,511,142,15
2021-01-07,PIE,70-79,98,64,34,29,18,51
2021-01-07,PIE,80-89,161,43,118,5,2,154
2021-01-07,PIE,90+,101,12,89,1,0,100
2021-01-07,PUG,16-19,2,2,0,2,0,0
2021-01-07,PUG,20-29,418,135,283,409,9,0
2021-01-07,PUG,30-39,896,391,505,859,37,0
2021-01-07,PUG,40-49,1217,454,763,1136,79,2
2021-01-07,PUG,50-59,1514,633,881,1412,101,1
2021-01-07,PUG,60-69,930,540,390,832,88,10
2021-01-07,PUG,70-79,64,33,31,25,0,39
2021-01-07,PUG,80-89,110,21,89,5,1,104
2021-01-07,PUG,90+,59,12,47,0,0,59
2021-01-07,SAR,16-19,1,0,1,1,0,0
2021-01-07,SAR,20-29,259,89,170,243,16,0
2021-01-07,SAR,30-39,590,216,374,520,70,0
2021-01-07,SAR,40-49,718,229,489,610,108,0
2021-01-07,SAR,50-59,1017,306,711,881,136,0
2021-01-07,SAR,60-69,476,216,260,428,48,0
2021-01-07,SAR,70-79,5,4,1,4,1,0
2021-01-07,SAR,80-89,0,0,0,0,0,0
2021-01-07,SAR,90+,0,0,0,0,0,0
2021-01-07,SIC,16-19,15,6,9,10,5,0
2021-01-07,SIC,20-29,815,321,494,718,96,1
2021-01-07,SIC,30-39,1396,610,786,1226,170,0
2021-01-07,SIC,40-49,1786,743,1043,1482,301,3
2021-01-07,SIC,50-59,2463,1095,1368,2057,396,10
2021-01-07,SIC,60-69,1852,1048,804,1626,211,15
2021-01-07,SIC,70-79,156,119,37,103,19,34
2021-01-07,SIC,80-89,110,38,72,13,5,92
2021-01-07,SIC,90+,60,9,51,1,2,57
2021-01-07,TOS,16-19,30,7,23,26,0,4
2021-01-07,TOS,20-29,988,291,697,977,1,10
2021-01-07,TOS,30-39,933,297,636,909,9,15
2021-01-07,TOS,40-49,1292,328,964,1247,5,40
2021-01-07,TOS,50-59,1605,424,1181,1523,9,73
2021-01-07,TOS,60-69,654,266,388,590,6,58
2021-01-07,TOS,70-79,93,46,47,21,0,72
2021-01-07,TOS,80-89,217,49,168,4,0,213
2021-01-07,TOS,90+,171,33,138,1,0,170
2021-01-07,UMB,16-19,0,0,0,0,0,0
2021-01-07,UMB,20-29,57,13,44,56,1,0
2021-01-07,UMB,30-39,185,56,129,185,0,0
2021-01-07,UMB,40-49,221,68,153,217,3,1
2021-01-07,UMB,50-59,360,94,266,339,1,20
2021-01-07,UMB,60-69,145,70,75,106,1,38
2021-01-07,UMB,70-79,74,35,39,3,0,71
2021-01-07,UMB,80-89,218,54,164,0,0,218
2021-01-07,UMB,90+,146,15,131,0,0,146
2021-01-07,VDA,16-19,0,0,0,0,0,0
2021-01-07,VDA,20-29,26,12,14,26,0,0
2021-01-07,VDA,30-39,50,20,30,50,0,0
2021-01-07,VDA,40-49,75,25,50,75,0,0
2021-01-07,VDA,50-59,80,24,56,79,0,1
2021-01-07,VDA,60-69,40,27,13,39,0,1
2021-01-07,VDA,70-79,6,4,2,4,0,2
2021-01-07,VDA,80-89,2,1,1,0,0,2
2021-01-07,VDA,90+,0,0,0,0,0,0
2021-01-07,VEN,16-19,5,0,5,2,3,0
2021-01-07,VEN,20-29,797,243,554,750,47,0
2021-01-07,VEN,30-39,1039,327,712,941,96,2
2021-01-07,VEN,40-49,1564,379,1185,1326,228,10
2021-01-07,VEN,50-59,2147,544,1603,1730,385,32
2021-01-07,VEN,60-69,787,354,433,583,93,111
2021-01-07,VEN,70-79,380,162,218,33,33,314
2021-01-07,VEN,80-89,769,186,583,4,32,733
2021-01-07,VEN,90+,600,60,540,2,2,596
2021-01-08,ABR,16-19,0,0,0,0,0,0
2021-01-08,ABR,20-29,140,44,96,140,0,0
2021-01-08,ABR,30-39,283,97,186,277,6,0
2021-01-08,ABR,40-49,390,119,271,382,8,0
2021-01-08,ABR,50-59,498,139,359,480,18,0
2021-01-08,ABR,60-69,308,125,183,302,6,0
2021-01-08,ABR,70-79,17,14,3,13,4,0
2021-01-08,ABR,80-89,2,1,1,2,0,0
2021-01-08,ABR,90+,0,0,0,0,0,0
2021-01-08,BAS,16-19,0,0,0,0,0,0
2021-01-08,BAS,20-29,9,4,5,8,1,0
2021-01-08,BAS,30-39,46,14,32,44,2,0
2021-01-08,BAS,40-49,63,26,37,51,11,1
2021-01-08,BAS,50-59,83,32,51,76,6,1
2021-01-08,BAS,60-69,102,59,43,96,3,3
2021-01-08,BAS,70-79,7,3,4,0,0,7
2021-01-08,BAS,80-89,16,3,13,0,0,16
2021-01-08,BAS,90+,11,2,9,0,0,11
2021-01-08,CAL,16-19,0,0,0,0,0,0
2021-01-08,CAL,20-29,56,23,33,46,10,0
2021-01-08,CAL,30-39,185,94,91,171,14,0
2021-01-08,CAL,40-49,271,111,160,237,34,0
2021-01-08,CAL,50-59,429,203,226,391,38,0
2021-01-08,CAL,60-69,324,179,145,302,22,0
2021-01-08,CAL,70-79,24,21,3,23,1,0
