data,fornitore,area,fascia_anagrafica,nuovi_vaccinati,sesso_maschile,sesso_femminile,operatori_sanitari,personale_non_sanitario,ospiti_rsa,over80,prima_dose,seconda_dose
2021-01-05,Pfizer/BioNTech,ABR,30-39,316,108,208,314,2,0,0,316,0
2021-01-05,Pfizer/BioNTech,ABR,40-49,386,137,249,383,3,0,0,386,0
2021-01-05,Pfizer/BioNTech,ABR,50-59,440,140,300,437,3,0,0,440,0
2021-01-05,Pfizer/BioNTech,ABR,60-69,343,179,164,341,2,0,0,343,0
2021-01-05,Pfizer/BioNTech,ABR,70-79,19,16,3,19,0,0,0,19,0
2021-01-05,Pfizer/BioNTech,ABR,80-89,1,1,0,1,0,0,0,1,0
2021-01-05,Pfizer/BioNTech,BAS,20-29,51,19,32,32,19,0,0,51,0
2021-01-05,Pfizer/BioNTech,BAS,30-39,129,53,76,99,30,0,0,129,0
2021-01-05,Pfizer/BioNTech,BAS,40-49,238,94,144,184,54,0,0,238,0
2021-01-05,Pfizer/BioNTech,BAS,50-59,267,98,169,193,74,0,0,267,0
2021-01-05,Pfizer/BioNTech,BAS,60-69,231,128,103,172,59,0,0,231,0
2021-01-05,Pfizer/BioNTech,BAS,70-79,8,5,3,3,5,0,0,8,0
2021-01-05,Pfizer/BioNTech,BAS,80-89,1,0,1,1,0,0,0,1,0
2021-01-05,Pfizer/BioNTech,CAL,16-19,0,0,0,0,0,0,0,0,0
2021-01-05,Pfizer/BioNTech,CAL,20-29,78,26,52,63,15,0,0,78,0
2021-01-05,Pfizer/BioNTech,CAL,30-39,286,117,169,267,19,0,0,286,0
2021-01-05,Pfizer/BioNTech,CAL,40-49,374,147,227,346,28,0,0,374,0
2021-01-05,Pfizer/BioNTech,CAL,50-59,462,222,240,432,30,0,0,462,0
2021-01-05,Pfizer/BioNTech,CAL,60-69,364,222,142,312,52,0,0,364,0
2021-01-05,Pfizer/BioNTech,CAL,70-79,11,11,0,9,2,0,0,11,0
2021-01-05,Pfizer/BioNTech,CAL,80-89,0,0,0,0,0,0,0,0,0
2021-01-05,Pfizer/BioNTech,CAL,90+,0,0,0,0,0,0,0,0,0
2021-01-05,Pfizer/BioNTech,CAM,16-19,1,1,0,1,0,0,0,1,0
2021-01-05,Pfizer/BioNTech,CAM,20-29,560,215,345,464,96,0,0,560,0
2021-01-05,Pfizer/BioNTech,CAM,30-39,1179,565,614,979,200,0,0,1179,0
2021-01-05,Pfizer/BioNTech,CAM,40-49,1393,616,777,1147,246,0,0,1393,0
2021-01-05,Pfizer/BioNTech,CAM,50-59,2184,1044,1140,1776,406,2,0,2184,0
2021-01-05,Pfizer/BioNTech,CAM,60-69,1712,1085,627,1356,342,14,0,1712,0
2021-01-05,Pfizer/BioNTech,CAM,70-79,94,68,26,43,25,26,0,94,0
2021-01-05,Pfizer/BioNTech,CAM,80-89,29,5,24,2,3,24,0,29,0
2021-01-05,Pfizer/BioNTech,CAM,90+,22,4,18,1,1,20,0,22,0
2021-01-05,Pfizer/BioNTech,EMR,16-19,5,1,4,3,2,0,0,5,0
2021-01-05,Pfizer/BioNTech,EMR,20-29,922,279,643,715,206,1,0,922,0
2021-01-05,Pfizer/BioNTech,EMR,30-39,1843,720,1123,1422,420,1,0,1843,0
2021-01-05,Pfizer/BioNTech,EMR,40-49,1972,591,1381,1482,485,5,0,1972,0
2021-01-05,Pfizer/BioNTech,EMR,50-59,2268,596,1672,1673,578,17,0,2268,0
2021-01-05,Pfizer/BioNTech,EMR,60-69,1268,611,657,929,299,40,0,1268,0
2021-01-05,Pfizer/BioNTech,EMR,70-79,225,146,79,91,36,98,0,225,0
2021-01-05,Pfizer/BioNTech,EMR,80-89,244,74,170,9,22,213,0,244,0
2021-01-05,Pfizer/BioNTech,EMR,90+,236,40,196,4,18,214,0,236,0
2021-01-05,Pfizer/BioNTech,FVG,20-29,192,64,128,185,7,0,0,192,0
2021-01-05,Pfizer/BioNTech,FVG,30-39,270,91,179,253,17,0,0,270,0
2021-01-05,Pfizer/BioNTech,FVG,40-49,329,94,235,294,34,1,0,329,0
2021-01-05,Pfizer/BioNTech,FVG,50-59,393,85,308,340,50,3,0,393,0
2021-01-05,Pfizer/BioNTech,FVG,60-69,247,117,130,220,22,5,0,247,0
2021-01-05,Pfizer/BioNTech,FVG,70-79,86,53,33,52,2,32,0,86,0
2021-01-05,Pfizer/BioNTech,FVG,80-89,72,28,44,3,0,69,0,72,0
2021-01-05,Pfizer/BioNTech,FVG,90+,89,17,72,1,1,87,0,89,0
2021-01-05,Pfizer/BioNTech,LAZ,20-29,547,176,371,534,10,3,0,547,0
2021-01-05,Pfizer/BioNTech,LAZ,30-39,1229,476,753,1203,18,8,0,1229,0
2021-01-05,Pfizer/BioNTech,LAZ,40-49,1442,470,972,1397,24,21,0,1442,0
2021-01-05,Pfizer/BioNTech,LAZ,50-59,2064,752,1312,1982,29,53,0,2064,0
2021-01-05,Pfizer/BioNTech,LAZ,60-69,1471,714,757,1389,20,62,0,1471,0
2021-01-05,Pfizer/BioNTech,LAZ,70-79,177,105,72,97,1,79,0,177,0
2021-01-05,Pfizer/BioNTech,LAZ,80-89,241,68,173,46,1,194,0,241,0
2021-01-05,Pfizer/BioNTech,LAZ,90+,177,33,144,20,0,157,0,177,0
2021-01-05,Pfizer/BioNTech,LIG,20-29,143,42,101,108,34,1,0,143,0
2021-01-05,Pfizer/BioNTech,LIG,30-39,335,108,227,297,38,0,0,335,0
2021-01-05,Pfizer/BioNTech,LIG,40-49,533,143,390,480,50,3,0,533,0
2021-01-05,Pfizer/BioNTech,LIG,50-59,998,265,733,860,129,9,0,998,0
2021-01-05,Pfizer/BioNTech,LIG,60-69,477,215,262,388,68,21,0,477,0
2021-01-05,Pfizer/BioNTech,LIG,70-79,47,32,15,9,10,28,0,47,0
2021-01-05,Pfizer/BioNTech,LIG,80-89,87,20,67,1,9,77,0,87,0
2021-01-05,Pfizer/BioNTech,LIG,90+,96,17,79,0,9,87,0,96,0
2021-01-05,Pfizer/BioNTech,LOM,16-19,1,1,0,0,1,0,0,1,0
2021-01-05,Pfizer/BioNTech,LOM,20-29,588,155,433,39,549,0,0,588,0
2021-01-05,Pfizer/BioNTech,LOM,30-39,1368,521,847,127,1241,0,0,1368,0
2021-01-05,Pfizer/BioNTech,LOM,40-49,1696,498,1198,210,1486,0,0,1696,0
2021-01-05,Pfizer/BioNTech,LOM,50-59,2343,623,1720,289,2054,0,0,2343,0
2021-01-05,Pfizer/BioNTech,LOM,60-69,862,402,460,112,750,0,0,862,0
2021-01-05,Pfizer/BioNTech,LOM,70-79,44,32,12,0,44,0,0,44,0
2021-01-05,Pfizer/BioNTech,LOM,80-89,79,29,50,0,79,0,0,79,0
2021-01-05,Pfizer/BioNTech,LOM,90+,78,16,62,0,78,0,0,78,0
2021-01-05,Pfizer/BioNTech,MAR,20-29,111,35,76,105,6,0,0,111,0
2021-01-05,Pfizer/BioNTech,MAR,30-39,358,153,205,349,9,0,0,358,0
2021-01-05,Pfizer/BioNTech,MAR,40-49,403,134,269,374,29,0,0,403,0
2021-01-05,Pfizer/BioNTech,MAR,50-59,457,146,311,403,54,0,0,457,0
2021-01-05,Pfizer/BioNTech,MAR,60-69,223,110,113,198,25,0,0,223,0
2021-01-05,Pfizer/BioNTech,MAR,70-79,9,7,2,7,2,0,0,9,0
2021-01-05,Pfizer/BioNTech,MAR,80-89,1,1,0,0,1,0,0,1,0
2021-01-05,Pfizer/BioNTech,MOL,20-29,14,6,8,14,0,0,0,14,0
2021-01-05,Pfizer/BioNTech,MOL,30-39,60,21,39,60,0,0,0,60,0
2021-01-05,Pfizer/BioNTech,MOL,40-49,101,34,67,99,2,0,0,101,0
2021-01-05,Pfizer/BioNTech,MOL,50-59,163,59,104,158,5,0,0,163,0
2021-01-05,Pfizer/BioNTech,MOL,60-69,108,58,50,107,1,0,0,108,0
2021-01-05,Pfizer/BioNTech,MOL,70-79,2,2,0,2,0,0,0,2,0
2021-01-05,Pfizer/BioNTech,PAB,20-29,59,13,46,46,13,0,0,59,0
2021-01-05,Pfizer/BioNTech,PAB,30-39,126,49,77,85,41,0,0,126,0
2021-01-05,Pfizer/BioNTech,PAB,40-49,246,68,178,176,70,0,0,246,0
2021-01-05,Pfizer/BioNTech,PAB,50-59,266,81,185,187,79,0,0,266,0
2021-01-05,Pfizer/BioNTech,PAB,60-69,100,58,42,68,32,0,0,100,0
2021-01-05,Pfizer/BioNTech,PAB,70-79,9,9,0,5,4,0,0,9,0
2021-01-05,Pfizer/BioNTech,PAT,16-19,0,0,0,0,0,0,0,0,0
2021-01-05,Pfizer/BioNTech,PAT,20-29,61,15,46,57,3,1,0,61,0
2021-01-05,Pfizer/BioNTech,PAT,30-39,114,44,70,101,13,0,0,114,0
2021-01-05,Pfizer/BioNTech,PAT,40-49,149,54,95,140,9,0,0,149,0
2021-01-05,Pfizer/BioNTech,PAT,50-59,165,50,115,146,16,3,0,165,0
2021-01-05,Pfizer/BioNTech,PAT,60-69,58,26,32,39,8,11,0,58,0
2021-01-05,Pfizer/BioNTech,PAT,70-79,32,18,14,2,2,28,0,32,0
2021-01-05,Pfizer/BioNTech,PAT,80-89,60,17,43,0,0,60,0,60,0
2021-01-05,Pfizer/BioNTech,PAT,90+,55,9,46,0,1,54,0,55,0
2021-01-05,Pfizer/BioNTech,PIE,20-29,459,146,313,406,53,0,0,459,0
2021-01-05,Pfizer/BioNTech,PIE,30-39,868,304,564,783,84,1,0,868,0
2021-01-05,Pfizer/BioNTech,PIE,40-49,1088,283,805,953,135,0,0,1088,0
2021-01-05,Pfizer/BioNTech,PIE,50-59,1725,388,1337,1444,276,5,0,1725,0
2021-01-05,Pfizer/BioNTech,PIE,60-69,900,373,527,725,154,21,0,900,0
2021-01-05,Pfizer/BioNTech,PIE,70-79,97,60,37,34,16,47,0,97,0
2021-01-05,Pfizer/BioNTech,PIE,80-89,116,34,82,6,4,106,0,116,0
2021-01-05,Pfizer/BioNTech,PIE,90+,105,12,93,1,3,101,0,105,0
2021-01-05,Pfizer/BioNTech,PUG,16-19,1,1,0,0,1,0,0,1,0
2021-01-05,Pfizer/BioNTech,PUG,20-29,370,109,261,341,29,0,0,370,0
2021-01-05,Pfizer/BioNTech,PUG,30-39,907,391,516,827,79,1,0,907,0
2021-01-05,Pfizer/BioNTech,PUG,40-49,1203,452,751,1094,108,1,0,1203,0
2021-01-05,Pfizer/BioNTech,PUG,50-59,1542,664,878,1358,181,3,0,1542,0
2021-01-05,Pfizer/BioNTech,PUG,60-69,919,557,362,766,142,11,0,919,0
2021-01-05,Pfizer/BioNTech,PUG,70-79,54,33,21,23,11,20,0,54,0
2021-01-05,Pfizer/BioNTech,PUG,80-89,49,17,32,2,3,39,5,49,0
2021-01-05,Pfizer/BioNTech,PUG,90+,19,4,15,0,0,19,0,19,0
2021-01-05,Pfizer/BioNTech,SAR,20-29,67,24,43,59,8,0,0,67,0
2021-01-05,Pfizer/BioNTech,SAR,30-39,224,76,148,218,6,0,0,224,0
2021-01-05,Pfizer/BioNTech,SAR,40-49,306,90,216,295,11,0,0,306,0
2021-01-05,Pfizer/BioNTech,SAR,50-59,465,133,332,451,14,0,0,465,0
2021-01-05,Pfizer/BioNTech,SAR,60-69,258,120,138,248,10,0,0,258,0
2021-01-05,Pfizer/BioNTech,SAR,70-79,1,1,0,1,0,0,0,1,0
2021-01-05,Pfizer/BioNTech,SIC,16-19,41,18,23,27,14,0,0,41,0
2021-01-05,Pfizer/BioNTech,SIC,20-29,1019,427,592,945,73,1,0,1019,0
2021-01-05,Pfizer/BioNTech,SIC,30-39,1648,797,851,1501,145,2,0,1648,0
2021-01-05,Pfizer/BioNTech,SIC,40-49,2200,965,1235,1897,300,3,0,2200,0
2021-01-05,Pfizer/BioNTech,SIC,50-59,3110,1474,1636,2707,387,16,0,3110,0
2021-01-05,Pfizer/BioNTech,SIC,60-69,2237,1325,912,2033,190,14,0,2237,0
2021-01-05,Pfizer/BioNTech,SIC,70-79,172,124,48,115,17,40,0,172,0
2021-01-05,Pfizer/BioNTech,SIC,80-89,127,46,81,12,18,97,0,127,0
2021-01-05,Pfizer/BioNTech,SIC,90+,43,12,31,3,4,36,0,43,0
2021-01-05,Pfizer/BioNTech,TOS,20-29,770,259,511,768,1,1,0,770,0
2021-01-05,Pfizer/BioNTech,TOS,30-39,963,350,613,957,2,4,0,963,0
2021-01-05,Pfizer/BioNTech,TOS,40-49,952,300,652,946,2,4,0,952,0
2021-01-05,Pfizer/BioNTech,TOS,50-59,1154,328,826,1127,4,23,0,1154,0
2021-01-05,Pfizer/BioNTech,TOS,60-69,582,279,303,520,1,61,0,582,0
2021-01-05,Pfizer/BioNTech,TOS,70-79,155,85,70,22,0,133,0,155,0
2021-01-05,Pfizer/BioNTech,TOS,80-89,327,106,221,5,1,321,0,327,0
2021-01-05,Pfizer/BioNTech,TOS,90+,335,45,290,3,0,332,0,335,0
2021-01-05,Pfizer/BioNTech,UMB,20-29,26,11,15,25,1,0,0,26,0
2021-01-05,Pfizer/BioNTech,UMB,30-39,123,48,75,123,0,0,0,123,0
2021-01-05,Pfizer/BioNTech,UMB,40-49,189,69,120,189,0,0,0,189,0
2021-01-05,Pfizer/BioNTech,UMB,50-59,170,82,88,168,2,0,0,170,0
2021-01-05,Pfizer/BioNTech,UMB,60-69,324,205,119,321,2,1,0,324,0
2021-01-05,Pfizer/BioNTech,UMB,70-79,14,12,2,14,0,0,0,14,0
2021-01-05,Pfizer/BioNTech,VDA,20-29,11,6,5,0,11,0,0,11,0
2021-01-05,Pfizer/BioNTech,VDA,30-39,22,9,13,0,22,0,0,22,0
2021-01-05,Pfizer/BioNTech,VDA,40-49,28,8,20,0,28,0,0,28,0
2021-01-05,Pfizer/BioNTech,VDA,50-59,57,17,40,0,57,0,0,57,0
2021-01-05,Pfizer/BioNTech,VDA,60-69,20,8,12,0,20,0,0,20,0
2021-01-05,Pfizer/BioNTech,VDA,70-79,6,2,4,0,6,0,0,6,0
2021-01-05,Pfizer/BioNTech,VDA,80-89,5,4,1,0,5,0,0,5,0
2021-01-05,Pfizer/BioNTech,VDA,90+,1,0,1,0,1,0,0,1,0
2021-01-05,Pfizer/BioNTech,VEN,16-19,4,1,3,1,3,0,0,4,0
2021-01-05,Pfizer/BioNTech,VEN,20-29,797,241,556,748,46,3,0,797,0
2021-01-05,Pfizer/BioNTech,VEN,30-39,1060,362,698,962,89,9,0,1060,0
2021-01-05,Pfizer/BioNTech,VEN,40-49,1506,383,1123,1332,162,12,0,1506,0
2021-01-05,Pfizer/BioNTech,VEN,50-59,2103,497,1606,1764,287,52,0,2103,0
2021-01-05,Pfizer/BioNTech,VEN,60-69,825,415,410,648,90,87,0,825,0
2021-01-05,Pfizer/BioNTech,VEN,70-79,212,104,108,26,18,168,0,212,0
2021-01-05,Pfizer/BioNTech,VEN,80-89,408,118,290,1,2,405,0,408,0
2021-01-05,Pfizer/BioNTech,VEN,90+,385,51,334,0,1,384,0,385,0
2021-01-06,Pfizer/BioNTech,ABR,20-29,129,42,87,117,12,0,0,129,0
2021-01-06,Pfizer/BioNTech,ABR,30-39,363,130,233,331,32,0,0,363,0
2021-01-06,Pfizer/BioNTech,ABR,40-49,397,126,271,369,28,0,0,397,0
2021-01-06,Pfizer/BioNTech,ABR,50-59,485,145,340,424,57,4,0,485,0
2021-01-06,Pfizer/BioNTech,ABR,60-69,313,152,161,277,21,15,0,313,0
2021-01-06,Pfizer/BioNTech,ABR,70-79,64,43,21,26,1,37,0,64,0
2021-01-06,Pfizer/BioNTech,ABR,80-89,47,17,30,2,0,45,0,47,0
2021-01-06,Pfizer/BioNTech,ABR,90+,32,9,23,0,0,32,0,32,0
2021-01-06,Pfizer/BioNTech,BAS,20-29,10,2,8,5,5,0,0,10,0
2021-01-06,Pfizer/BioNTech,BAS,30-39,32,18,14,19,13,0,0,32,0
2021-01-06,Pfizer/BioNTech,BAS,40-49,71,33,38,34,37,0,0,71,0
2021-01-06,Pfizer/BioNTech,BAS,50-59,85,33,52,49,34,2,0,85,0
2021-01-06,Pfizer/BioNTech,BAS,60-69,53,29,24,27,24,2,0,53,0
2021-01-06,Pfizer/BioNTech,BAS,70-79,10,4,6,1,3,6,0,10,0
2021-01-06,Pfizer/BioNTech,BAS,80-89,13,2,11,0,1,12,0,13,0
2021-01-06,Pfizer/BioNTech,BAS,90+,14,3,11,0,0,14,0,14,0
2021-01-06,Pfizer/BioNTech,CAL,16-19,0,0,0,0,0,0,0,0,0
2021-01-06,Pfizer/BioNTech,CAL,20-29,62,18,44,60,2,0,0,62,0
2021-01-06,Pfizer/BioNTech,CAL,30-39,213,99,114,210,3,0,0,213,0
2021-01-06,Pfizer/BioNTech,CAL,40-49,251,107,144,235,16,0,0,251,0
2021-01-06,Pfizer/BioNTech,CAL,50-59,317,172,145,293,24,0,0,317,0
2021-01-06,Pfizer/BioNTech,CAL,60-69,218,140,78,204,14,0,0,218,0
2021-01-06,Pfizer/BioNTech,CAL,70-79,12,11,1,12,0,0,0,12,0
2021-01-06,Pfizer/BioNTech,CAL,80-89,1,0,1,0,1,0,0,1,0
2021-01-06,Pfizer/BioNTech,CAL,90+,0,0,0,0,0,0,0,0,0
2021-01-06,Pfizer/BioNTech,CAM,16-19,2,2,0,1,1,0,0,2,0
2021-01-06,Pfizer/BioNTech,CAM,20-29,697,260,437,548,140,9,0,697,0
2021-01-06,Pfizer/BioNTech,CAM,30-39,1240,555,685,968,261,11,0,1240,0
2021-01-06,Pfizer/BioNTech,CAM,40-49,1366,594,772,1025,328,13,0,1366,0
2021-01-06,Pfizer/BioNTech,CAM,50-59,2035,943,1092,1545,458,32,0,2035,0
2021-01-06,Pfizer/BioNTech,CAM,60-69,2022,1257,765,1648,340,34,0,2022,0
2021-01-06,Pfizer/BioNTech,CAM,70-79,169,108,61,68,38,63,0,169,0
2021-01-06,Pfizer/BioNTech,CAM,80-89,95,32,63,4,4,87,0,95,0
2021-01-06,Pfizer/BioNTech,CAM,90+,58,14,44,1,2,55,0,58,0
2021-01-06,Pfizer/BioNTech,EMR,16-19,9,5,4,4,5,0,0,9,0
2021-01-06,Pfizer/BioNTech,EMR,20-29,926,275,651,689,233,4,0,926,0
2021-01-06,Pfizer/BioNTech,EMR,30-39,1484,582,902,1106,372,6,0,1484,0
2021-01-06,Pfizer/BioNTech,EMR,40-49,1581,481,1100,1197,375,9,0,1581,0
2021-01-06,Pfizer/BioNTech,EMR,50-59,2027,588,1439,1524,491,12,0,2027,0
2021-01-06,Pfizer/BioNTech,EMR,60-69,1172,574,598,869,272,31,0,1172,0
2021-01-06,Pfizer/BioNTech,EMR,70-79,317,243,74,174,71,72,0,317,0
2021-01-06,Pfizer/BioNTech,EMR,80-89,230,77,153,17,44,169,0,230,0
2021-01-06,Pfizer/BioNTech,EMR,90+,215,31,184,3,21,191,0,215,0
2021-01-06,Pfizer/BioNTech,FVG,20-29,122,41,81,114,8,0,0,122,0
2021-01-06,Pfizer/BioNTech,FVG,30-39,121,44,77,102,19,0,0,121,0
2021-01-06,Pfizer/BioNTech,FVG,40-49,144,39,105,90,54,0,0,144,0
2021-01-06,Pfizer/BioNTech,FVG,50-59,182,65,117,103,79,0,0,182,0
2021-01-06,Pfizer/BioNTech,FVG,60-69,103,51,52,74,29,0,0,103,0
2021-01-06,Pfizer/BioNTech,FVG,70-79,33,21,12,28,5,0,0,33,0
2021-01-06,Pfizer/BioNTech,FVG,80-89,2,2,0,2,0,0,0,2,0
2021-01-06,Pfizer/BioNTech,FVG,90+,2,1,1,1,1,0,0,2,0
2021-01-06,Pfizer/BioNTech,LAZ,16-19,1,1,0,1,0,0,0,1,0
2021-01-06,Pfizer/BioNTech,LAZ,20-29,642,245,397,597,38,7,0,642,0
2021-01-06,Pfizer/BioNTech,LAZ,30-39,985,413,572,955,13,17,0,985,0
2021-01-06,Pfizer/BioNTech,LAZ,40-49,987,333,654,934,29,24,0,987,0
2021-01-06,Pfizer/BioNTech,LAZ,50-59,1299,439,860,1217,49,33,0,1299,0
2021-01-06,Pfizer/BioNTech,LAZ,60-69,891,431,460,836,18,37,0,891,0
2021-01-06,Pfizer/BioNTech,LAZ,70-79,110,58,52,59,7,44,0,110,0
2021-01-06,Pfizer/BioNTech,LAZ,80-89,101,18,83,10,7,84,0,101,0
2021-01-06,Pfizer/BioNTech,LAZ,90+,75,11,64,0,1,74,0,75,0
2021-01-06,Pfizer/BioNTech,LIG,16-19,3,1,2,1,2,0,0,3,0
2021-01-06,Pfizer/BioNTech,LIG,20-29,122,43,79,87,35,0,0,122,0
2021-01-06,Pfizer/BioNTech,LIG,30-39,167,70,97,136,31,0,0,167,0
2021-01-06,Pfizer/BioNTech,LIG,40-49,293,86,207,244,49,0,0,293,0
2021-01-06,Pfizer/BioNTech,LIG,50-59,528,173,355,430,98,0,0,528,0
2021-01-06,Pfizer/BioNTech,LIG,60-69,291,156,135,221,70,0,0,291,0
2021-01-06,Pfizer/BioNTech,LIG,70-79,49,37,12,21,16,12,0,49,0
2021-01-06,Pfizer/BioNTech,LIG,80-89,78,21,57,2,2,45,29,78,0
2021-01-06,Pfizer/BioNTech,LIG,90+,92,10,82,1,0,56,35,92,0
2021-01-06,Pfizer/BioNTech,LOM,16-19,1,0,1,0,1,0,0,1,0
2021-01-06,Pfizer/BioNTech,LOM,20-29,630,199,431,55,575,0,0,630,0
2021-01-06,Pfizer/BioNTech,LOM,30-39,1192,474,718,125,1067,0,0,1192,0
2021-01-06,Pfizer/BioNTech,LOM,40-49,1374,367,1007,173,1201,0,0,1374,0
2021-01-06,Pfizer/BioNTech,LOM,50-59,1978,552,1426,270,1708,0,0,1978,0
2021-01-06,Pfizer/BioNTech,LOM,60-69,956,489,467,144,812,0,0,956,0
2021-01-06,Pfizer/BioNTech,LOM,70-79,65,50,15,5,60,0,0,65,0
2021-01-06,Pfizer/BioNTech,LOM,80-89,9,1,8,0,9,0,0,9,0
2021-01-06,Pfizer/BioNTech,LOM,90+,1,0,1,0,1,0,0,1,0
2021-01-06,Pfizer/BioNTech,MAR,20-29,148,46,102,136,12,0,0,148,0
2021-01-06,Pfizer/BioNTech,MAR,30-39,359,120,239,314,44,1,0,359,0
2021-01-06,Pfizer/BioNTech,MAR,40-49,469,138,331,396,71,2,0,469,0
2021-01-06,Pfizer/BioNTech,MAR,50-59,612,178,434,495,114,3,0,612,0
2021-01-06,Pfizer/BioNTech,MAR,60-69,418,234,184,362,50,6,0,418,0
2021-01-06,Pfizer/BioNTech,MAR,70-79,62,44,18,33,4,25,0,62,0
2021-01-06,Pfizer/BioNTech,MAR,80-89,58,17,41,2,1,55,0,58,0
2021-01-06,Pfizer/BioNTech,MAR,90+,55,15,40,0,0,55,0,55,0
2021-01-06,Pfizer/BioNTech,MOL,20-29,31,12,19,27,4,0,0,31,0
2021-01-06,Pfizer/BioNTech,MOL,30-39,81,37,44,77,3,1,0,81,0
2021-01-06,Pfizer/BioNTech,MOL,40-49,97,36,61,92,5,0,0,97,0
2021-01-06,Pfizer/BioNTech,MOL,50-59,152,61,91,138,11,3,0,152,0
2021-01-06,Pfizer/BioNTech,MOL,60-69,119,56,63,111,2,6,0,119,0
2021-01-06,Pfizer/BioNTech,MOL,70-79,22,9,13,2,4,16,0,22,0
2021-01-06,Pfizer/BioNTech,MOL,80-89,85,27,58,0,24,61,0,85,0
2021-01-06,Pfizer/BioNTech,MOL,90+,94,19,75,0,17,77,0,94,0
2021-01-06,Pfizer/BioNTech,PAB,20-29,3,0,3,3,0,0,0,3,0
2021-01-06,Pfizer/BioNTech,PAB,30-39,9,2,7,9,0,0,0,9,0
2021-01-06,Pfizer/BioNTech,PAB,40-49,16,5,11,16,0,0,0,16,0
2021-01-06,Pfizer/BioNTech,PAB,50-59,17,5,12,17,0,0,0,17,0
2021-01-06,Pfizer/BioNTech,PAB,60-69,12,4,8,12,0,0,0,12,0
2021-01-06,Pfizer/BioNTech,PAB,70-79,2,2,0,2,0,0,0,2,0
2021-01-06,Pfizer/BioNTech,PAT,16-19,0,0,0,0,0,0,0,0,0
2021-01-06,Pfizer/BioNTech,PAT,20-29,7,0,7,7,0,0,0,7,0
2021-01-06,Pfizer/BioNTech,PAT,30-39,15,7,8,15,0,0,0,15,0
2021-01-06,Pfizer/BioNTech,PAT,40-49,10,5,5,10,0,0,0,10,0
2021-01-06,Pfizer/BioNTech,PAT,50-59,8,1,7,8,0,0,0,8,0
2021-01-06,Pfizer/BioNTech,PAT,60-69,2,0,2,2,0,0,0,2,0
2021-01-06,Pfizer/BioNTech,PAT,70-79,0,0,0,0,0,0,0,0,0
2021-01-06,Pfizer/BioNTech,PAT,80-89,0,0,0,0,0,0,0,0,0
2021-01-06,Pfizer/BioNTech,PAT,90+,0,0,0,0,0,0,0,0,0
2021-01-06,Pfizer/BioNTech,PIE,16-19,6,0,6,2,4,0,0,6,0
2021-01-06,Pfizer/BioNTech,PIE,20-29,220,75,145,170,48,2,0,220,0
2021-01-06,Pfizer/BioNTech,PIE,30-39,458,179,279,397,61,0,0,458,0
2021-01-06,Pfizer/BioNTech,PIE,40-49,494,126,368,415,79,0,0,494,0
2021-01-06,Pfizer/BioNTech,PIE,50-59,859,231,628,724,124,11,0,859,0
2021-01-06,Pfizer/BioNTech,PIE,60-69,714,353,361,614,83,17,0,714,0
2021-01-06,Pfizer/BioNTech,PIE,70-79,101,63,38,34,27,40,0,101,0
2021-01-06,Pfizer/BioNTech,PIE,80-89,131,54,77,3,6,122,0,131,0
2021-01-06,Pfizer/BioNTech,PIE,90+,124,25,99,2,1,121,0,124,0
2021-01-06,Pfizer/BioNTech,PUG,20-29,268,78,190,209,58,1,0,268,0
2021-01-06,Pfizer/BioNTech,PUG,30-39,660,287,373,536,117,7,0,660,0
2021-01-06,Pfizer/BioNTech,PUG,40-49,827,311,516,689,127,11,0,827,0
2021-01-06,Pfizer/BioNTech,PUG,50-59,1076,452,624,882,169,25,0,1076,0
2021-01-06,Pfizer/BioNTech,PUG,60-69,754,417,337,559,142,53,0,754,0
2021-01-06,Pfizer/BioNTech,PUG,70-79,82,40,42,23,5,54,0,82,0
2021-01-06,Pfizer/BioNTech,PUG,80-89,125,36,89,3,2,120,0,125,0
2021-01-06,Pfizer/BioNTech,PUG,90+,105,21,84,0,0,105,0,105,0
2021-01-06,Pfizer/BioNTech,SAR,20-29,126,34,92,116,10,0,0,126,0
2021-01-06,Pfizer/BioNTech,SAR,30-39,335,113,222,320,15,0,0,335,0
2021-01-06,Pfizer/BioNTech,SAR,40-49,348,116,232,323,25,0,0,348,0
2021-01-06,Pfizer/BioNTech,SAR,50-59,503,146,357,463,40,0,0,503,0
2021-01-06,Pfizer/BioNTech,SAR,60-69,275,127,148,247,28,0,0,275,0
2021-01-06,Pfizer/BioNTech,SAR,70-79,5,5,0,5,0,0,0,5,0
2021-01-06,Pfizer/BioNTech,SAR,80-89,1,1,0,0,1,0,0,1,0
2021-01-06,Pfizer/BioNTech,SIC,16-19,20,9,11,16,4,0,0,20,0
2021-01-06,Pfizer/BioNTech,SIC,20-29,599,259,340,528,71,0,0,599,0
2021-01-06,Pfizer/BioNTech,SIC,30-39,986,473,513,881,105,0,0,986,0
2021-01-06,Pfizer/BioNTech,SIC,40-49,1248,599,649,1105,143,0,0,1248,0
2021-01-06,Pfizer/BioNTech,SIC,50-59,1808,861,947,1593,215,0,0,1808,0
2021-01-06,Pfizer/BioNTech,SIC,60-69,1628,1053,575,1490,137,1,0,1628,0
2021-01-06,Pfizer/BioNTech,SIC,70-79,170,140,30,119,51,0,0,170,0
2021-01-06,Pfizer/BioNTech,SIC,80-89,25,14,11,11,13,1,0,25,0
2021-01-06,Pfizer/BioNTech,SIC,90+,2,1,1,1,1,0,0,2,0
